,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
0,,749,1.5,1.99,1.5,1.9599,423351.6099999999,224405.07999999996,749,736978.233201001
1,,999,1.9599,2.15,1.789,2.1201,367491.14999999973,228234.93999999997,250,726156.6205979998
2,,1262,2.168,2.168,1.7,1.7,377298.0100000001,177541.95000000007,263,729281.7784889999
3,,1567,1.72,1.925,1.6,1.6998,421823.0099999999,180247.18,305,740970.805882
4,,1894,1.65,1.7,1.3494,1.531,467870.9900000001,217799.3399999999,327,728561.845904
5,,2655,1.531,1.7381,1.45,1.6312,451273.19,214948.6599999999,761,727918.084314
6,,3137,1.6312,1.669,1.4927,1.5209,467800.6100000001,155078.7,482,728982.0442189999
7,,3580,1.5666,1.5845,1.49,1.579,475924.10000000015,162962.90000000002,443,727245.1983700003
8,,4317,1.579,1.6948,1.5614,1.57,450921.2800000004,223566.44000000003,737,731012.341674
9,,4698,1.5603,1.64,1.5554,1.6111,458151.5599999998,201921.5300000001,381,725842.084496
10,,5252,1.6111,1.6501,1.541,1.6501,468849.6499999999,240878.0100000001,554,739729.8885919999
11,,5375,1.68,1.8141,1.6435,1.658,424988.13999999984,218243.68000000014,123,729788.1080649999
12,,5563,1.658,1.9479,1.658,1.7603,406448.02999999997,239769.94000000003,188,727199.7925670004
13,,6083,1.7605,1.91,1.7434,1.81,401822.9599999998,189429.56000000006,520,738463.3609110003
14,,6311,1.81,1.9532,1.7466,1.918,398366.96999999974,242894.74999999997,228,728224.5081470002
15,,6610,1.9028,1.9308,1.833,1.8977,385906.4599999999,219976.39000000007,299,730132.6689
16,,6751,1.92,2.0477,1.8101,2.004,376444.42999999993,218967.93999999994,141,727096.5956310001
17,,6849,1.9806,1.9995,1.62,1.8,402730.8399999999,173080.86999999997,98,726960.0489260001
18,,6937,1.818,2.038,1.7212,1.98,383247.04999999993,214446.89,88,727484.936624
19,,7087,1.988,1.988,1.7515,1.7856,392733.52999999997,171997.43000000002,150,726315.542172
20,,7383,1.8074,2.1384,1.7856,2.0349,364374.42000000004,231728.78999999995,296,726318.482681
21,,7824,2.0349,2.118,1.975,2.11,352982.62999999995,212823.5900000001,441,727786.9298590003
22,,8054,2.11,2.4321,2.0921,2.4221,322895.0599999999,184216.14000000004,230,730763.5520350002
23,,8237,2.446,2.584,2.3285,2.4456,295781.3399999999,204537.79999999993,183,730742.6971179997
24,,8388,2.4071,2.7499,2.3989,2.6699,277065.0999999999,164646.06999999995,151,728890.992407
25,,8654,2.67,2.8,2.518,2.6205,275992.2800000001,159334.14000000004,266,726015.0702040003
26,,8873,2.6205,2.639,2.35,2.511,288660.2100000001,147552.22999999998,219,727358.469596
27,,9008,2.5108,2.8,2.4397,2.788,280865.68,186061.3,135,729950.874006
28,,9179,2.788,2.8349,2.47,2.55,271318.7299999998,118768.76000000004,171,727036.7172520002
29,,9285,2.55,2.6546,2.335,2.3661,304957.0399999999,125318.51000000001,106,755825.205563
30,,9385,2.301,2.7999,2.206,2.7999,285055.22,196304.17999999996,100,728394.9967309999
31,,9639,2.7609,2.8054,2.45,2.5,275359.0300000001,109444.53999999996,254,729606.034668
32,,9781,2.473,2.66,2.2,2.3201,303017.79,136862.27,142,725618.5399890001
