,ret,trgt,bin,side
2017-11-10 12:55:00.000,-0.00011764705882355564,0.01,0,1.0
2017-11-12 17:35:00.000,,0.01,0,
2017-11-15 09:00:00.000,-0.06761893084845516,0.01,0,1.0
2017-11-17 01:10:00.000,,0.01,0,
2017-11-18 14:05:00.000,,0.01,0,
2017-11-21 03:30:00.000,,0.01,0,
2017-11-22 11:15:00.000,,0.01,0,
2017-11-24 09:25:00.000,,0.01,0,
2017-11-24 19:40:00.000,,0.01,0,
2017-11-25 11:20:00.000,,0.01,0,
2017-11-27 06:40:00.000,-0.056308654848800876,0.01,0,-1.0
2017-11-28 01:40:00.000,0.010697159719660787,0.01,1,-1.0
2017-11-29 02:35:00.000,-0.053043912175648744,0.01,0,-1.0
2017-11-29 14:20:00.000,,0.01,0,
2017-11-29 22:30:00.000,-0.09090909090909083,0.01,0,-1.0
2017-11-30 05:50:00.000,,0.01,0,
2017-11-30 18:20:00.000,,0.01,0,
2017-12-01 19:00:00.000,,0.01,0,
2017-12-03 07:45:00.000,-0.1288551257173528,0.01,0,-1.0
2017-12-04 02:55:00.000,,0.01,0,
2017-12-04 18:10:00.000,-0.08401063710251322,0.01,0,-1.0
2017-12-05 06:45:00.000,0.01885136424346512,0.01,1,-1.0
2017-12-06 04:55:00.000,0.04360812425328531,0.01,1,-1.0
2017-12-06 23:10:00.000,-0.09935437589670026,0.01,0,-1.0
2017-12-07 10:25:00.000,,0.01,0,
2017-12-08 00:40:00.000,,0.01,0,
2017-12-08 09:30:00.000,,0.01,0,
2017-12-08 17:50:00.000,,0.01,0,
2017-12-09 15:00:00.000,,0.01,0,
2017-12-10 02:50:00.000,,0.01,0,
2017-12-10 14:55:00.000,,0.01,0,
2017-12-11 06:15:00.000,,0.01,0,
2017-12-11 23:35:00.000,,0.01,0,
2017-12-13 00:35:00.000,,0.01,0,
2017-12-13 08:10:00.000,,0.01,0,
2017-12-13 18:00:00.000,,0.01,0,
2017-12-14 02:55:00.000,,0.01,0,
2017-12-14 08:25:00.000,,0.01,0,
2017-12-14 12:00:00.000,,0.01,0,
2017-12-14 19:25:00.000,,0.01,0,
2017-12-15 03:30:00.000,,0.01,0,
2017-12-15 12:30:00.000,-0.10787910782631649,0.01,0,-1.0
2017-12-15 17:10:00.000,-0.09582338902147991,0.01,0,-1.0
2017-12-15 19:50:00.000,-0.07300884955752196,0.01,0,-1.0
2017-12-16 00:50:00.000,-0.07743362831858402,0.01,0,-1.0
2017-12-16 11:20:00.000,,0.01,0,
2017-12-16 15:40:00.000,-0.08508691674290958,0.01,0,-1.0
2017-12-16 23:10:00.000,,0.01,0,
2017-12-17 03:00:00.000,,0.01,0,
2017-12-17 04:50:00.000,-0.06607142857142845,0.01,0,-1.0
2017-12-17 07:55:00.000,-0.034699119162946324,0.01,0,-1.0
2017-12-17 09:00:00.000,,0.01,0,
2017-12-17 10:35:00.000,-0.053846153846153655,0.01,0,-1.0
2017-12-17 11:55:00.000,,0.01,0,
2017-12-17 12:35:00.000,,0.01,0,
2017-12-17 13:15:00.000,,0.01,0,
2017-12-17 14:20:00.000,,0.01,0,
2017-12-17 15:50:00.000,,0.01,0,
2017-12-17 18:45:00.000,,0.01,0,
2017-12-17 23:55:00.000,,0.01,0,
2017-12-18 01:05:00.000,,0.01,0,
2017-12-18 01:45:00.000,,0.01,0,
2017-12-18 05:40:00.000,,0.01,0,
2017-12-18 08:05:00.000,,0.01,0,
2017-12-18 12:25:00.000,,0.01,0,
2017-12-18 14:45:00.000,,0.01,0,
2017-12-18 17:25:00.000,,0.01,0,
2017-12-18 23:25:00.000,,0.01,0,
2017-12-19 01:15:00.000,,0.01,0,
2017-12-19 02:50:00.000,,0.01,0,
2017-12-19 05:00:00.000,,0.01,0,
2017-12-19 07:40:00.000,,0.01,0,
2017-12-19 09:55:00.000,,0.01,0,
2017-12-19 10:20:00.000,,0.01,0,
2017-12-19 10:50:00.000,,0.01,0,
2017-12-19 11:35:00.000,,0.01,0,
2017-12-19 12:00:00.000,,0.01,0,
2017-12-19 12:30:00.000,,0.01,0,
2017-12-19 13:35:00.000,,0.01,0,
2017-12-19 15:00:00.000,,0.01,0,
2017-12-19 19:00:00.000,,0.01,0,
2017-12-19 23:30:00.000,,0.01,0,
2017-12-20 00:35:00.000,,0.01,0,
2017-12-20 01:25:00.000,,0.01,0,
2017-12-20 02:40:00.000,,0.01,0,
2017-12-20 04:05:00.000,,0.01,0,
2017-12-20 05:30:00.000,,0.01,0,
2017-12-20 07:35:00.000,,0.01,0,
2017-12-20 11:05:00.000,,0.01,0,
2017-12-20 14:05:00.000,,0.01,0,
2017-12-20 18:00:00.000,,0.01,0,
2017-12-21 01:55:00.000,,0.01,0,
2017-12-21 07:15:00.000,,0.01,0,
2017-12-21 12:25:00.000,,0.01,0,
2017-12-21 14:45:00.000,,0.01,0,
2017-12-21 15:20:00.000,,0.01,0,
2017-12-21 16:35:00.000,0.09691138387687648,0.01,1,1.0
2017-12-21 22:00:00.000,-0.06884836852207288,0.01,0,1.0
2017-12-22 02:15:00.000,-0.0515325788963783,0.01,0,1.0
2017-12-22 04:10:00.000,,0.01,0,
2017-12-22 07:25:00.000,0.10888928362981187,0.01,1,1.0
2017-12-22 09:00:00.000,0.02633987825529771,0.01,1,1.0
2017-12-22 10:55:00.000,-0.1532475640482508,0.01,0,1.0
2017-12-22 14:00:00.000,,0.01,0,
2017-12-22 15:15:00.000,-0.04512105649303,0.01,0,1.0
2017-12-22 17:50:00.000,0.179997438852606,0.01,1,1.0
2017-12-22 21:55:00.000,-0.02361469841338759,0.01,0,1.0
2017-12-23 02:20:00.000,,0.01,0,
2017-12-23 05:05:00.000,,0.01,0,
2017-12-23 09:50:00.000,,0.01,0,
2017-12-23 13:45:00.000,,0.01,0,
2017-12-23 15:50:00.000,,0.01,0,
2017-12-23 23:45:00.000,,0.01,0,
2017-12-24 00:55:00.000,,0.01,0,
2017-12-24 02:50:00.000,,0.01,0,
2017-12-24 08:30:00.000,,0.01,0,
2017-12-24 14:05:00.000,,0.01,0,
