,ret,trgt,bin,side
2017-11-03 00:45:00.000,-0.03244703134146587,0.01,0,-1.0
2017-11-03 12:05:00.000,,0.01,0,
2017-11-04 01:30:00.000,-0.04181710353992307,0.01,0,-1.0
2017-11-04 18:35:00.000,-0.03518419916344018,0.01,0,-1.0
2017-11-05 14:10:00.000,0.035619933336075826,0.01,1,-1.0
2017-11-06 07:10:00.000,0.029693209247931618,0.01,1,-1.0
2017-11-06 21:00:00.000,-0.029462645647703845,0.01,0,-1.0
2017-11-07 12:35:00.000,,0.01,0,
2017-11-08 04:15:00.000,,0.01,0,
2017-11-08 17:15:00.000,,0.01,0,
2017-11-08 20:10:00.000,,0.01,0,
2017-11-09 04:05:00.000,0.02375374648777795,0.01,1,-1.0
2017-11-09 15:05:00.000,,0.01,0,
2017-11-10 08:15:00.000,,0.01,0,
2017-11-10 13:35:00.000,,0.01,0,
2017-11-10 20:20:00.000,0.04917112836247406,0.01,1,1.0
2017-11-11 06:05:00.000,-0.04928937658295074,0.01,0,1.0
2017-11-11 15:10:00.000,-0.02333759641457489,0.01,0,1.0
2017-11-12 00:55:00.000,-0.0851083854071163,0.01,0,1.0
2017-11-12 05:40:00.000,0.14805532942075783,0.01,1,1.0
2017-11-12 08:15:00.000,-0.06318245017766011,0.01,0,1.0
2017-11-12 13:25:00.000,-0.03939795713074923,0.01,0,1.0
2017-11-12 23:40:00.000,,0.01,0,
2017-11-13 10:55:00.000,-0.02968450831907221,0.01,0,1.0
2017-11-13 18:20:00.000,,0.01,0,
2017-11-14 11:40:00.000,,0.01,0,
2017-11-15 07:35:00.000,,0.01,0,
2017-11-15 20:30:00.000,,0.01,0,
2017-11-16 11:00:00.000,,0.01,0,
2017-11-16 19:00:00.000,0.019917775841783447,0.01,1,-1.0
2017-11-17 02:25:00.000,0.03701403127360625,0.01,1,-1.0
2017-11-17 08:10:00.000,-0.021035761309556755,0.01,0,-1.0
2017-11-17 14:15:00.000,,0.01,0,
2017-11-17 19:20:00.000,,0.01,0,
2017-11-18 00:55:00.000,,0.01,0,
2017-11-18 12:15:00.000,,0.01,0,
2017-11-18 18:15:00.000,,0.01,0,
2017-11-18 23:50:00.000,,0.01,0,
2017-11-19 06:20:00.000,,0.01,0,
2017-11-19 18:00:00.000,,0.01,0,
2017-11-19 22:20:00.000,,0.01,0,
2017-11-20 04:30:00.000,,0.01,0,
2017-11-20 09:40:00.000,,0.01,0,
2017-11-20 14:55:00.000,,0.01,0,
2017-11-21 01:45:00.000,,0.01,0,
2017-11-21 04:35:00.000,,0.01,0,
2017-11-21 08:00:00.000,,0.01,0,
2017-11-21 12:50:00.000,,0.01,0,
2017-11-21 18:05:00.000,,0.01,0,
2017-11-22 01:35:00.000,,0.01,0,
2017-11-22 07:40:00.000,,0.01,0,
2017-11-22 17:35:00.000,,0.01,0,
2017-11-23 01:15:00.000,,0.01,0,
2017-11-23 07:05:00.000,,0.01,0,
2017-11-23 11:20:00.000,,0.01,0,
2017-11-23 15:30:00.000,,0.01,0,
2017-11-23 21:10:00.000,,0.01,0,
2017-11-24 03:05:00.000,,0.01,0,
2017-11-24 08:15:00.000,,0.01,0,
2017-11-24 10:50:00.000,,0.01,0,
2017-11-24 14:35:00.000,,0.01,0,
2017-11-24 20:35:00.000,,0.01,0,
2017-11-25 03:40:00.000,,0.01,0,
2017-11-25 08:30:00.000,,0.01,0,
2017-11-25 12:45:00.000,,0.01,0,
2017-11-25 16:35:00.000,,0.01,0,
2017-11-25 21:10:00.000,,0.01,0,
2017-11-26 03:05:00.000,,0.01,0,
2017-11-26 07:45:00.000,-0.035356483308168984,0.01,0,-1.0
2017-11-26 12:50:00.000,-0.03076409699554572,0.01,0,-1.0
2017-11-26 17:00:00.000,,0.01,0,
2017-11-26 21:25:00.000,-0.04992419468026543,0.01,0,-1.0
2017-11-27 02:00:00.000,0.035112500272265645,0.01,1,-1.0
2017-11-27 09:40:00.000,-0.03549028526050679,0.01,0,-1.0
2017-11-27 12:50:00.000,-0.026777727685824537,0.01,0,-1.0
2017-11-27 21:00:00.000,,0.01,0,
2017-11-28 02:05:00.000,,0.01,0,
2017-11-28 06:20:00.000,,0.01,0,
2017-11-28 09:25:00.000,,0.01,0,
2017-11-28 12:40:00.000,,0.01,0,
2017-11-28 15:30:00.000,,0.01,0,
2017-11-28 18:35:00.000,,0.01,0,
2017-11-29 02:40:00.000,,0.01,0,
2017-11-29 05:30:00.000,,0.01,0,
2017-11-29 06:15:00.000,-0.03874143579067402,0.01,0,-1.0
2017-11-29 08:05:00.000,,0.01,0,
2017-11-29 11:20:00.000,,0.01,0,
2017-11-29 12:45:00.000,,0.01,0,
2017-11-29 14:05:00.000,,0.01,0,
2017-11-29 15:00:00.000,,0.01,0,
2017-11-29 15:35:00.000,,0.01,0,
2017-11-29 16:30:00.000,,0.01,0,
2017-11-29 17:45:00.000,,0.01,0,
2017-11-29 18:55:00.000,,0.01,0,
2017-11-29 19:30:00.000,,0.01,0,
2017-11-29 19:55:00.000,,0.01,0,
2017-11-29 20:30:00.000,-0.04807934345168807,0.01,0,1.0
2017-11-29 21:10:00.000,,0.01,0,
2017-11-29 22:10:00.000,,0.01,0,
2017-11-29 23:15:00.000,,0.01,0,
2017-11-30 00:20:00.000,,0.01,0,
2017-11-30 01:40:00.000,,0.01,0,
2017-11-30 03:30:00.000,,0.01,0,
2017-11-30 05:25:00.000,,0.01,0,
2017-11-30 06:50:00.000,,0.01,0,
2017-11-30 09:05:00.000,,0.01,0,
2017-11-30 10:55:00.000,,0.01,0,
2017-11-30 13:20:00.000,,0.01,0,
2017-11-30 14:15:00.000,,0.01,0,
2017-11-30 15:40:00.000,0.0373214880621886,0.01,1,1.0
