,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value,avg,upper,lower,side,mom1,mom2,mom3,mom4,mom5,log_ret,volatility,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,log_t1,log_t2,log_t3,log_t4,log_t5,fast_mavg,slow_mavg,rsi,srsi,sma
75,2017-11-26 07:45:00,7294,8736.34,8968.98,8736.34,8874.73,806.0075840000002,524.798987,56,7130939.65594435,8329.579437848213,8869.065036650065,7790.093839046362,-1.0,0.014922966432760365,0.03555655127590285,0.0387114670212243,0.04434635462021119,0.06284446190290272,0.014812714473432465,0.024750209661980216,-0.0570940796980437,0.13544230748808292,0.30609693132284976,0.20480221855443753,-0.04235269785988845,0.020126298419910427,0.003041958079021967,0.00541022076785147,0.017557576972963673,0.024808248295391522,8532.314285714283,8326.564666666665,86.0,56.57079334539771,1.0
76,2017-11-26 12:50:00,7355,8850.09,8941.23,8800.0,8916.98,811.1222540000003,497.4445900000002,61,7197010.69221036,8383.014209551284,8959.190582657446,7806.837836445122,-1.0,0.004760708213094933,0.019754718534715332,0.04048653385468626,0.043656469233308126,0.04931818288796741,0.004749411879926058,0.0214672752592487,0.07798308105811648,0.03854429819840473,0.10925104805890908,0.024275651872162195,-0.17790882302635297,0.014812714473432465,0.020126298419910427,0.003041958079021967,0.00541022076785147,0.017557576972963673,8642.542857142855,8382.794666666665,86.0,57.72671846335752,1.0
78,2017-11-26 21:25:00,7458,9209.03,9325.02,8972.78,9030.1,780.960736,361.11938,53,7145994.505019199,8509.428388736269,9185.414478887154,7833.4422985853835,-1.0,-0.01846845818645848,0.012685909354961167,0.017507011480912826,0.032691234458340546,0.05368605170822449,-0.018641129446228533,0.02098382489180895,0.015949792121241313,0.11409331556247106,0.1874088402838538,0.0040182793661049,-0.14012745378296165,0.031247246767504677,0.004749411879926058,0.014812714473432465,0.020126298419910427,0.003041958079021967,8840.007142857143,8512.082,92.0,60.5957243292569,1.0
79,2017-11-27 02:00:00,7513,9021.03,9573.97,9021.03,9504.61,780.587135,523.926694,55,7205726.79665179,8599.94363256695,9380.237592608426,7819.649672525475,-1.0,0.05254759083509608,0.033108659664500495,0.0659001141642126,0.07097455359205296,0.08695667090564774,0.05121350249760326,0.020031199747003764,-0.2146229380918319,0.09438124612627885,0.07962038797559184,-0.020558710468995895,0.059945904591017084,-0.018641129446228533,0.031247246767504677,0.004749411879926058,0.014812714473432465,0.020126298419910427,8977.240000000002,8607.045333333333,94.0,61.86627554145178,1.0
80,2017-11-27 06:05:00,7562,9509.99,9557.24,9362.32,9497.32,762.606733,337.578166,49,7234626.6257644575,8681.559523900216,9524.637667858611,7838.481379941822,-1.0,-0.0007669962260419272,0.05174029080519582,0.03231626922144648,0.06508257279931096,0.07015312015126085,-0.0007672905181372869,0.01892848527500398,-0.30142753878175166,0.021731334482024134,0.03750013738783149,0.11266761829916473,0.005254304503248779,0.05121350249760326,-0.018641129446228533,0.031247246767504677,0.004749411879926058,0.014812714473432465,9109.712857142857,8686.739333333333,94.0,63.61916734254031,1.0
81,2017-11-27 09:40:00,7605,9555.0,9654.27,9182.2,9182.2,786.6368259999998,307.963441,43,7488194.972029439,8727.090664420475,9560.812741517653,7893.368587323296,-1.0,-0.03317988653641224,-0.03392143391470037,0.016843667290506126,-0.0019358674610135962,0.029743253881919784,-0.03374282620745461,0.019380570221440182,-0.33163571394380104,-0.10069169421310703,0.16242346410990174,0.01011885922118829,0.004194476422104079,-0.0007672905181372869,0.05121350249760326,-0.018641129446228533,0.031247246767504677,0.004749411879926058,9172.278571428573,8758.892666666668,75.0,64.44808757224621,1.0
82,2017-11-27 12:50:00,7643,9260.87,9552.28,9248.99,9520.07,765.2553239999999,461.32327300000003,38,7218306.116626668,8799.206145534352,9667.939065702165,7930.47322536654,-1.0,0.03679619263357359,0.002395412600607383,0.0016265791021408127,0.054259642750356996,0.03478909262055141,0.03613537438070935,0.019445699570663628,-0.40889631086141043,-0.0430319574104092,0.21318242320492709,-0.037553953320463025,0.12455163846751914,-0.03374282620745461,-0.0007672905181372869,0.05121350249760326,-0.018641129446228533,0.031247246767504677,9264.470000000001,8851.164,75.0,65.55301439767389,1.0
94,2017-11-29 06:15:00,8140,10320.0,10499.99,10008.27,10425.82,700.5696569999999,240.052583,9,7212266.71349067,9633.203279121853,10744.442134482057,8521.96442376165,-1.0,-0.034644508600941815,0.03966988465308674,0.05417582573139379,0.052883411296121174,0.06277255296115603,-0.03525886061070871,0.020899682243297926,-0.4079603938232292,-0.010633935197535846,0.12509308136189137,-0.1159815513621339,0.14436972190671968,0.07416210477324015,0.013856009626099564,-0.0012267472832654391,0.009348602849357235,-0.011046789286025316,10110.714285714292,9819.021999999997,86.0,70.33727432768325,1.0
106,2017-11-29 20:30:00,8311,9498.0,10068.0,9472.49,9812.53,756.7291720000002,472.966701,7,7340638.496501491,10014.823424881242,11154.595712650596,8875.051137111888,1.0,0.05443047496238984,0.0782976301150986,-0.024989020292090047,-0.0525693275749034,-0.09437150728423027,0.053000787006237005,0.029746790863624552,-0.1630967488492242,-0.041081873535780855,0.08865696519891843,-0.033647986104175805,0.25324207925968734,0.0223827420998699,-0.10069007591492252,-0.028694966838207492,-0.04512459557662396,0.04714846516249516,9972.951428571438,10374.183333333327,39.0,60.768603907416185,-1.0
119,2017-11-30 15:40:00,8541,9188.38,9301.01,8975.0,9005.0,817.6496030000001,327.002225,17,7461315.1139682485,9794.817731699257,10690.181711332341,8899.453752066172,1.0,-0.02119565217391306,-0.047502192172911406,-0.042240338645948006,-0.11779516389122369,-0.1108166366651625,-0.021423505427076606,0.03414452969033966,-0.20571526124109468,0.09871656282945046,0.1717968767890647,-0.07884229762691414,0.19888259805630534,-0.027243968050724376,0.005509065578715777,-0.08217260155376671,0.00787920268581388,-0.018966309207288035,9673.867142857149,9755.797333333327,27.0,45.17545893448819,-1.0
