timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-11-01,304.89,305.9,286.34,287.01,9843.1666,1509580799999.0,2948801.7063006,12038.0,3264.6181,981818.7579919,136742.86382963
2017-11-02,287.3,293.0,274.73,283.12,13423.8572,1509667199999.0,3810829.6596733,13600.0,4726.14435,1347012.8971022,141653.48167664
2017-11-03,283.12,307.0,282.0,304.08,8194.03465,1509753599999.0,2400297.6347816,8973.0,3439.34248,1009675.1728016,147417.10443676
2017-11-04,304.09,304.99,292.11,298.04,7828.41744,1509839999999.0,2333944.7608054,9036.0,3652.33313,1089665.5338768,149491.74328532
2017-11-05,298.1,302.14,293.13,295.53,6638.42119,1509926399999.0,1974433.013513,7513.0,3403.76089,1013349.9678548,163794.63009765
2017-11-06,295.19,305.58,290.11,297.97,7515.50103,1510012799999.0,2233482.6122626,7898.0,2768.12495,823872.9723537,157485.37350833
2017-11-07,297.25,303.52,287.0,291.78,9418.57881,1510099199999.0,2765345.5827772,8788.0,3541.77071,1041355.9371219,163370.12620204
2017-11-08,291.31,320.0,290.02,303.02,15961.85772,1510185599999.0,4839176.806813,14402.0,7621.19678,2314876.9042327,170293.23529459
2017-11-09,303.6,329.0,299.5,317.87,11151.29946,1510271999999.0,3527294.7503346,8208.0,5438.08042,1718346.8231336,182606.27147864
2017-11-10,318.5,322.65,285.82,293.5,15597.16557,1510358399999.0,4762536.5850516,9253.0,7799.9111,2384691.4816294,184373.23549784
2017-11-11,293.52,318.0,291.91,310.02,10850.16279,1510444799999.0,3282643.0277861,8646.0,5001.69556,1515726.7324973,189047.13995797
2017-11-12,310.87,316.99,281.01,305.24,21123.15319,1510531199999.0,6345603.7706789,13661.0,9589.62986,2900669.9964922,194784.51476628
2017-11-13,304.0,318.88,303.7,312.99,15551.67434,1510617599999.0,4852265.3955649,9066.0,7170.70938,2242103.2845542,193411.39559092
2017-11-14,313.0,337.54,312.94,335.61,17709.2227,1510703999999.0,5756893.4527936,11711.0,8919.59659,2901086.0739194,210416.64859479
2017-11-15,335.6,339.0,324.0,331.33,15597.16131,1510790399999.0,5178507.4572747,10036.0,7036.5064,2338129.6177232,210061.7275302
2017-11-16,330.98,334.75,321.41,331.49,14145.71696,1510876799999.0,4638262.2625835,9493.0,6014.42341,1974043.7196371,208793.34295029
2017-11-17,331.49,334.6,323.84,331.23,18042.02544,1510963199999.0,5954175.9400211,11548.0,9389.65878,3102187.4682219,204195.19355885
2017-11-18,331.2,349.9,326.01,346.66,14361.4973,1511049599999.0,4780354.335408,10690.0,7672.43904,2559237.1123193,209185.67909234
2017-11-19,346.66,373.56,343.07,354.15,19397.74898,1511135999999.0,6895884.0624029,10509.0,9931.92637,3532022.4845988,223647.70668788
2017-11-20,355.15,372.5,353.9,367.42,18277.0194,1511222399999.0,6600961.958264,11553.0,9171.44481,3318132.2571167,227357.06576793
2017-11-21,367.42,375.5,350.02,362.12,26237.64398,1511308799999.0,9556690.2312402,14762.0,12579.43792,4586895.6041716,236531.49066778
