,ret,trgt,bin,side
2018-06-01 09:40:00,,0.01,0,
2018-06-01 09:50:00,,0.01,0,
2018-06-01 10:05:00,,0.01,0,
2018-06-01 10:20:00,,0.01,0,
2018-06-01 10:35:00,,0.01,0,
2018-06-01 10:50:00,,0.01,0,
2018-06-01 11:05:00,,0.01,0,
2018-06-01 11:20:00,,0.01,0,
2018-06-01 11:45:00,,0.01,0,
2018-06-01 11:50:00,,0.01,0,
2018-06-01 11:55:00,0.013830325518637165,0.01,1,1.0
2018-06-01 12:00:00,0.01136804746853004,0.01,1,1.0
2018-06-01 12:05:00,,0.01,0,
2018-06-01 12:15:00,,0.01,0,
2018-06-01 12:30:00,,0.01,0,
2018-06-01 12:35:00,,0.01,0,
2018-06-01 12:50:00,,0.01,0,
2018-06-01 12:55:00,,0.01,0,
2018-06-01 13:15:00,,0.01,0,
2018-06-01 13:20:00,,0.01,0,
2018-06-01 13:35:00,,0.01,0,
2018-06-01 13:40:00,,0.01,0,
2018-06-01 13:45:00,,0.01,0,
2018-06-01 14:15:00,,0.01,0,
2018-06-01 14:35:00,,0.01,0,
2018-06-01 14:45:00,,0.01,0,
2018-06-01 15:00:00,,0.01,0,
2018-06-01 15:05:00,,0.01,0,
2018-06-01 15:20:00,,0.01,0,
2018-06-01 15:30:00,,0.01,0,
2018-06-01 15:35:00,,0.01,0,
2018-06-01 15:55:00,,0.01,0,
2018-06-01 16:05:00,,0.01,0,
2018-06-01 16:40:00,,0.01,0,
2018-06-01 16:45:00,,0.01,0,
2018-06-01 16:50:00,0.015817127999566694,0.01,1,-1.0
2018-06-01 16:55:00,0.012035892751598443,0.01,1,-1.0
2018-06-01 17:00:00,0.017062997670765467,0.01,1,-1.0
2018-06-01 17:10:00,,0.01,0,
2018-06-01 17:15:00,,0.01,0,
2018-06-01 17:25:00,,0.01,0,
2018-06-01 17:30:00,,0.01,0,
2018-06-01 17:45:00,,0.01,0,
2018-06-01 18:05:00,,0.01,0,
2018-06-01 18:10:00,,0.01,0,
2018-06-01 18:25:00,,0.01,0,
2018-06-01 18:50:00,,0.01,0,
2018-06-01 19:10:00,,0.01,0,
2018-06-01 19:15:00,,0.01,0,
2018-06-01 19:25:00,,0.01,0,
2018-06-01 20:00:00,,0.01,0,
2018-06-01 20:15:00,,0.01,0,
2018-06-01 20:25:00,,0.01,0,
2018-06-01 20:35:00,,0.01,0,
2018-06-01 21:15:00,,0.01,0,
2018-06-01 21:35:00,,0.01,0,
2018-06-01 21:45:00,-0.022917101691376174,0.01,0,-1.0
2018-06-01 21:50:00,,0.01,0,
2018-06-01 22:00:00,,0.01,0,
2018-06-01 22:10:00,,0.01,0,
2018-06-01 22:25:00,,0.01,0,
2018-06-01 22:35:00,-0.023742372186041694,0.01,0,-1.0
2018-06-01 22:45:00,,0.01,0,
2018-06-01 22:50:00,,0.01,0,
2018-06-01 22:55:00,,0.01,0,
2018-06-01 23:05:00,,0.01,0,
2018-06-01 23:10:00,,0.01,0,
2018-06-01 23:20:00,,0.01,0,
2018-06-01 23:25:00,0.014515455304928926,0.01,1,-1.0
2018-06-01 23:35:00,,0.01,0,
2018-06-01 23:55:00,,0.01,0,
2018-06-02 00:00:00,,0.01,0,
2018-06-02 00:05:00,,0.01,0,
2018-06-02 00:20:00,,0.01,0,
2018-06-02 00:30:00,,0.01,0,
2018-06-02 00:55:00,,0.01,0,
2018-06-02 01:05:00,,0.01,0,
