,ret,trgt,bin,side
2017-12-14 05:25:00.000,,0.01,0,
2017-12-14 12:15:00.000,,0.01,0,
2017-12-14 14:15:00.000,,0.01,0,
2017-12-14 15:10:00.000,,0.01,0,
2017-12-14 16:00:00.000,-0.03297462371846116,0.01,0,1.0
2017-12-14 17:55:00.000,0.03736982593330507,0.01,1,1.0
2017-12-14 19:40:00.000,,0.01,0,
2017-12-14 22:10:00.000,,0.01,0,
2017-12-15 00:40:00.000,,0.01,0,
2017-12-15 02:15:00.000,,0.01,0,
2017-12-15 02:50:00.000,,0.01,0,
2017-12-15 04:00:00.000,-0.03586956521739104,0.01,0,1.0
2017-12-15 06:15:00.000,,0.01,0,
2017-12-15 09:40:00.000,,0.01,0,
2017-12-15 10:05:00.000,,0.01,0,
2017-12-15 13:05:00.000,,0.01,0,
2017-12-15 13:40:00.000,,0.01,0,
2017-12-15 14:10:00.000,-0.037939936603379576,0.01,0,-1.0
2017-12-15 15:25:00.000,,0.01,0,
2017-12-15 16:05:00.000,,0.01,0,
2017-12-15 17:00:00.000,0.05005637749000513,0.01,1,-1.0
2017-12-15 18:20:00.000,,0.01,0,
2017-12-15 19:50:00.000,,0.01,0,
2017-12-15 20:50:00.000,,0.01,0,
2017-12-15 22:30:00.000,,0.01,0,
2017-12-16 02:10:00.000,,0.01,0,
2017-12-16 05:15:00.000,,0.01,0,
2017-12-16 08:20:00.000,,0.01,0,
2017-12-16 10:45:00.000,,0.01,0,
2017-12-16 13:10:00.000,,0.01,0,
2017-12-16 14:35:00.000,,0.01,0,
2017-12-16 16:05:00.000,,0.01,0,
2017-12-16 17:25:00.000,,0.01,0,
2017-12-16 19:25:00.000,,0.01,0,
2017-12-16 21:15:00.000,,0.01,0,
2017-12-16 22:50:00.000,,0.01,0,
2017-12-17 00:05:00.000,,0.01,0,
2017-12-17 01:10:00.000,,0.01,0,
2017-12-17 01:30:00.000,,0.01,0,
2017-12-17 01:45:00.000,0.04914592964165099,0.01,1,-1.0
2017-12-17 02:20:00.000,-0.03505330760226544,0.01,0,-1.0
2017-12-17 03:45:00.000,-0.02198740864943549,0.01,0,-1.0
2017-12-17 05:40:00.000,,0.01,0,
2017-12-17 06:05:00.000,,0.01,0,
2017-12-17 06:40:00.000,0.014990100876778767,0.01,1,-1.0
2017-12-17 08:10:00.000,,0.01,0,
2017-12-17 10:20:00.000,-0.02169278996865187,0.01,0,-1.0
2017-12-17 11:55:00.000,,0.01,0,
2017-12-17 13:50:00.000,,0.01,0,
2017-12-17 15:40:00.000,,0.01,0,
2017-12-17 17:30:00.000,,0.01,0,
2017-12-17 18:55:00.000,,0.01,0,
2017-12-17 20:10:00.000,,0.01,0,
2017-12-17 22:00:00.000,,0.01,0,
2017-12-17 23:30:00.000,,0.01,0,
2017-12-18 00:50:00.000,,0.01,0,
2017-12-18 01:10:00.000,,0.01,0,
2017-12-18 01:35:00.000,0.06353810559756923,0.01,1,1.0
2017-12-18 02:10:00.000,-0.02935160232475109,0.01,0,1.0
2017-12-18 02:30:00.000,,0.01,0,
2017-12-18 03:05:00.000,,0.01,0,
2017-12-18 04:35:00.000,,0.01,0,
2017-12-18 10:30:00.000,,0.01,0,
2017-12-18 11:40:00.000,,0.01,0,
2017-12-18 12:25:00.000,,0.01,0,
2017-12-18 14:15:00.000,,0.01,0,
2017-12-18 15:05:00.000,,0.01,0,
2017-12-18 16:15:00.000,,0.01,0,
2017-12-18 18:15:00.000,,0.01,0,
2017-12-18 19:20:00.000,,0.01,0,
2017-12-18 20:05:00.000,,0.01,0,
2017-12-18 20:40:00.000,,0.01,0,
2017-12-18 21:10:00.000,-0.03613764529865393,0.01,0,-1.0
2017-12-18 22:20:00.000,-0.04332507569501731,0.01,0,-1.0
2017-12-18 22:50:00.000,0.010827843024920902,0.01,1,-1.0
2017-12-18 23:05:00.000,0.012877647875911169,0.01,1,-1.0
2017-12-19 00:35:00.000,-0.048830167905311805,0.01,0,-1.0
2017-12-19 01:25:00.000,,0.01,0,
2017-12-19 02:30:00.000,,0.01,0,
2017-12-19 03:20:00.000,,0.01,0,
2017-12-19 04:05:00.000,,0.01,0,
2017-12-19 06:40:00.000,,0.01,0,
2017-12-19 08:20:00.000,,0.01,0,
2017-12-19 09:45:00.000,,0.01,0,
