,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
0,,105,36.0,45.0,36.0,40.5,5805.015999999997,1715.3040000000003,105,238168.034234
1,,153,40.0,42.999,40.0,40.511,5858.679000000002,1404.946,48,241799.00812499996
2,,162,40.511,40.511,36.5,40.0,7362.105,2586.6049999999996,9,286007.114724
3,,219,39.4,40.0,37.5,37.5,6185.419,2714.4239999999995,57,238939.1117879999
4,,248,37.3,37.49,34.7,34.7,6834.528000000001,2914.4660000000003,29,244847.392705
5,,287,34.2,36.9,34.19,34.19,7080.628,4131.326000000001,39,249115.84083299997
6,,351,33.771,36.998,33.5,36.998,7046.1590000000015,3484.6059999999998,64,247194.18264299992
7,,404,36.998,37.4,35.123,35.123,6633.602,3031.758,53,239990.39235300003
8,,592,35.122,36.89,34.25,35.09,6779.792000000001,2241.6360000000004,188,238921.03681399996
9,,828,35.6,37.288,35.001,36.9,6588.722000000001,3089.7239999999993,236,238713.07232500013
10,,986,36.0,36.426,34.0,34.0,7011.6900000000005,1769.7949999999998,158,245411.67262500004
11,,1241,34.001,35.94,33.09,35.129,6864.186,2411.009,255,236806.63550699988
12,,1436,35.129,36.101,34.0,35.4,6873.420000000001,2396.8650000000007,195,238939.09117099998
13,,1465,35.6,38.72,35.6,37.92,8003.893,5801.962,29,301428.0794350001
14,,1495,37.92,39.7,37.92,37.92,6623.131999999998,4445.1269999999995,30,255132.69707100006
15,,1652,37.061,39.5,36.451,38.785,6291.372000000001,2258.147,157,236738.96303500002
16,,1922,38.785,39.1,37.1,37.7,7348.875,1545.5899999999997,270,277512.548281
17,,2044,37.7,40.0,37.2,40.0,6237.2390000000005,2464.6089999999995,122,238673.726433
18,,2112,40.0,41.7,37.5,38.301,5994.697000000001,3607.924000000001,68,237146.3144310001
19,,2292,38.301,40.4,38.12,40.4,6212.947000000002,3420.378999999999,180,244789.779674
20,,2413,40.4,40.4,37.6,37.6,6223.449,1555.489,121,241347.95400300008
21,,2503,37.7,39.0,37.25,37.8,6241.406999999998,2277.464,90,237690.20725799992
22,,2593,37.9,39.303,37.305,37.701,6189.5380000000005,3573.064,90,236632.38052799998
23,,2620,37.613,37.999,35.401,35.401,7650.368,1946.9389999999999,27,279702.369749
24,,2648,35.98,37.799,35.946,37.197,6638.819000000001,2596.413,28,245337.30994000004
25,,2669,37.149,38.352,37.149,37.831,6282.935999999999,3387.0650000000005,21,237702.30098500007
26,,2695,37.829,37.829,36.653,36.933,6352.61,2921.838,26,236886.752317
27,,2714,37.235,37.574,36.863,37.4,6401.854000000001,3183.053,19,237839.42852600003
28,,2725,37.368,37.587,36.998,37.41,6379.247,3336.572,11,237708.573763
29,,2737,37.388,37.388,36.179,37.05,6859.375999999999,3527.0739999999996,12,252504.18609
30,,2759,36.956,37.049,36.252,36.258,6501.219,2170.0220000000004,22,238497.86858600003
31,,2771,36.386,36.703,36.0,36.703,6523.389,4087.165,12,236975.21613400005
32,,2783,36.237,36.244,33.1,33.1,8744.818,1582.424,12,304138.02470199997
33,,2787,32.002,33.174,32.002,32.234,8005.7119999999995,3926.7790000000005,4,259356.81994800002
34,,2793,32.116,34.431,32.001,34.431,8220.754,5984.773999999999,6,271793.564761
35,,2799,33.606,33.606,31.841,31.884,7361.817999999999,1723.8780000000002,6,242555.07360100004
