,ret,trgt,bin,side
2017-11-21 08:50:00.000,,0.01,0,
2017-11-21 11:35:00.000,,0.01,0,
2017-11-21 17:35:00.000,,0.01,0,
2017-11-22 05:05:00.000,,0.01,0,
2017-11-22 16:30:00.000,,0.01,0,
2017-11-23 03:05:00.000,,0.01,0,
2017-11-23 09:35:00.000,,0.01,0,
2017-11-23 15:35:00.000,,0.01,0,
2017-11-24 01:50:00.000,,0.01,0,
2017-11-24 12:10:00.000,,0.01,0,
2017-11-25 03:30:00.000,,0.01,0,
2017-11-25 04:25:00.000,,0.01,0,
2017-11-25 05:40:00.000,-0.038246931114943594,0.01,0,-1.0
2017-11-25 06:25:00.000,,0.01,0,
2017-11-25 08:15:00.000,0.016734794655839158,0.01,1,-1.0
2017-11-25 12:20:00.000,-0.020134408602150655,0.01,0,-1.0
2017-11-26 01:00:00.000,,0.01,0,
2017-11-26 19:45:00.000,,0.01,0,
2017-11-26 21:10:00.000,,0.01,0,
2017-11-27 05:55:00.000,,0.01,0,
2017-11-27 13:35:00.000,0.04792024013722096,0.01,1,-1.0
2017-11-28 11:05:00.000,0.04041595197255554,0.01,1,-1.0
2017-11-28 12:50:00.000,,0.01,0,
2017-11-28 15:05:00.000,,0.01,0,
2017-11-28 22:00:00.000,,0.01,0,
2017-11-29 01:40:00.000,,0.01,0,
2017-11-29 05:10:00.000,,0.01,0,
2017-11-29 05:35:00.000,,0.01,0,
2017-11-29 06:10:00.000,,0.01,0,
2017-11-29 07:50:00.000,-0.029421102762197227,0.01,0,1.0
2017-11-29 08:45:00.000,,0.01,0,
2017-11-29 09:30:00.000,,0.01,0,
2017-11-29 10:45:00.000,,0.01,0,
2017-11-29 11:55:00.000,,0.01,0,
2017-11-29 12:35:00.000,,0.01,0,
2017-11-29 13:35:00.000,,0.01,0,
2017-11-29 14:40:00.000,,0.01,0,
2017-11-29 15:05:00.000,,0.01,0,
2017-11-29 15:40:00.000,,0.01,0,
2017-11-29 16:40:00.000,,0.01,0,
2017-11-29 17:35:00.000,,0.01,0,
2017-11-29 18:15:00.000,,0.01,0,
2017-11-29 19:15:00.000,,0.01,0,
