,date_time,tick_num,open,high,low,close,volume,cum_buy_volume,cum_ticks,cum_dollar_value
0,,2,0.92999,0.92999,0.928,0.928,1024172.0700000001,0.0,2,951336.3867995001
1,,3,0.91505,0.91505,0.91505,0.91505,876795.69,0.0,1,802311.8961344999
2,,5,0.91809,0.91809,0.91001,0.91001,767629.5800000001,394455.65,2,701737.7957478
3,,7,0.919,0.935,0.919,0.935,1038980.61,1038980.61,2,965954.3418700001
4,,9,0.93594,0.93594,0.92296,0.92296,896889.0,480440.59,2,834028.7902982
5,,11,0.923,0.923,0.91612,0.91612,859270.97,486390.38,2,790541.6868508002
6,,14,0.91212,0.923,0.9114,0.9114,1174269.1300000001,370638.31,3,1074694.6838252
7,,19,0.91955,0.91955,0.91236,0.91578,848902.7100000001,425198.80000000005,5,777248.7436428999
8,,22,0.9145,0.9145,0.90199,0.90199,930643.6699999999,0.0,3,844577.2310294
9,,29,0.90379,0.90725,0.90238,0.90709,816572.19,465697.62000000005,7,738697.7168282
10,,38,0.9053,0.9053,0.8911,0.8911,874728.99,179994.44,9,786264.9518044
11,,45,0.89756,0.9137,0.89756,0.9117,1059411.69,722961.5800000001,7,961326.7121083001
12,,51,0.91596,0.92001,0.90815,0.90815,853881.43,427438.88,6,782515.1687862998
13,,60,0.91276,0.91276,0.90098,0.90801,825992.46,287163.37,9,748048.6072757001
14,,69,0.904,0.90799,0.8957,0.8957,831089.25,151550.88,9,749152.5239017
15,,77,0.89722,0.90332,0.89651,0.899,813038.53,516608.79,8,731082.179654
16,,87,0.899,0.90398,0.8921,0.8921,803023.68,350584.87,10,722958.2495579
17,,92,0.88899,0.88991,0.87812,0.87812,976007.6400000001,152254.01,5,861736.7422266
18,,99,0.882,0.89598,0.87801,0.89598,846180.9800000001,682857.5700000001,7,748026.8757479
19,,114,0.89001,0.89962,0.89001,0.89071,793626.0399999999,336991.04000000004,15,708728.2785322999
20,,131,0.8905,0.8905,0.883,0.89,794750.35,356968.43,17,704550.0756865
21,,157,0.8885,0.904,0.886,0.904,935084.0700000001,680013.05,26,836581.9223996999
22,,174,0.90159,0.90454,0.89445,0.89998,787210.7000000001,144144.85,17,708403.0948577002
23,,196,0.89615,0.90388,0.88962,0.90388,864857.66,538608.05,22,775018.153853
24,,214,0.90088,0.90545,0.89252,0.90545,829584.29,323793.53,18,743860.6338982999
25,,234,0.90268,0.9052,0.89782,0.9002,903075.1799999998,342637.42000000004,20,813192.7447467
26,,256,0.90193,0.90982,0.89986,0.90108,809698.5799999998,440836.71,22,732543.5396254
27,,273,0.90369,0.90638,0.90125,0.902,842479.02,363471.67,17,762006.7050943
28,,294,0.90299,0.90605,0.90129,0.90587,783520.9900000002,444754.99,21,707885.0653608
29,,316,0.9058,0.90781,0.90182,0.90405,806793.7,338372.77,22,729274.0034687
30,,324,0.90493,0.90794,0.90332,0.90332,964971.26,342653.48,8,874487.6221088001
31,,329,0.90483,0.90483,0.89995,0.90077,832416.63,235014.1,5,749998.5547791
32,,348,0.901,0.9088,0.901,0.90689,870709.52,777569.4600000001,19,788522.3308775999
33,,350,0.9169,0.92,0.9169,0.92,901558.6199999999,901558.6199999999,2,827462.5351239999
34,,358,0.92236,0.92236,0.905,0.905,815282.91,295630.74,8,745228.7564103
35,,371,0.912,0.91711,0.90886,0.91711,888502.7200000001,691833.19,13,811910.3595248001
36,,382,0.91973,0.93209,0.91848,0.93209,1244281.6500000001,884361.63,11,1150917.3543113
37,,385,0.92342,0.92342,0.91539,0.91539,770451.51,0.0,3,709482.1170581
38,,400,0.91899,0.92289,0.9171,0.92289,815666.6699999999,602812.5299999999,15,750584.5599889999
39,,413,0.9215,0.92281,0.9119,0.916,764462.66,361781.30000000005,13,701306.9654979999
40,,436,0.9145,0.9151,0.89808,0.89808,954482.1999999998,228822.16,23,865497.9086931
41,,452,0.9035,0.90599,0.89617,0.901,836243.13,278502.76,16,752634.929372
42,,478,0.90368,0.90994,0.90101,0.9028,779188.7899999998,510523.69999999995,26,705265.0787353999
43,,489,0.90235,0.90862,0.90101,0.90543,841013.48,289152.33999999997,11,760501.7762955
44,,503,0.90805,0.91112,0.90442,0.91029,776949.46,380570.57,14,705020.3806026
45,,513,0.91349,0.91601,0.90666,0.90694,800912.4299999998,331684.42,10,730295.0599530002
46,,539,0.90796,0.9142,0.90096,0.90096,845369.4099999999,282641.69,26,768008.9729589
47,,544,0.8999,0.8999,0.89225,0.89255,784623.1100000001,167234.53999999998,5,702460.5545691
48,,552,0.894,0.89448,0.87321,0.87499,910932.29,307849.81999999995,8,802317.6232630999
49,,556,0.871,0.87317,0.86166,0.86332,854590.28,176493.98,4,740400.646017
50,,561,0.86006,0.87691,0.86006,0.87604,916857.31,333512.51,5,798398.62697
51,,578,0.87365,0.87966,0.87018,0.87054,846426.2499999999,229367.77000000002,17,740453.1727328998
52,,588,0.86859,0.86859,0.86131,0.86455,870890.3100000002,393615.64,10,753342.7650304
53,,602,0.86315,0.87066,0.86117,0.86999,823235.46,510627.34,14,713511.2253700999
54,,621,0.86998,0.87647,0.85255,0.85255,945440.5900000001,285590.66,19,815683.4426276999
55,,626,0.8555,0.8555,0.8421,0.8421,883319.0799999998,379414.65,5,750064.2097793
56,,635,0.84826,0.8585,0.84826,0.855,851067.0200000001,555118.15,9,725957.1353296001
57,,652,0.8552,0.8671,0.8552,0.86558,815431.1900000001,423365.95,17,702165.4035948999
58,,673,0.85966,0.867,0.855,0.86453,820035.1,297697.51999999996,21,705920.1398996
59,,696,0.8675,0.87106,0.86611,0.86899,822702.8600000002,529973.7700000001,23,714224.9564805002
60,,726,0.86723,0.8684,0.85303,0.85668,819624.6499999999,372267.12,30,704810.4424264999
61,,768,0.85514,0.86822,0.8517,0.86613,838381.29,491517.04000000004,42,721675.9991739
62,,782,0.86658,0.86658,0.83077,0.83077,1011306.6000000001,81894.04000000001,14,852201.6591604
63,,788,0.8243,0.83141,0.82001,0.82221,936292.2999999999,368537.15,6,772763.5441783
64,,799,0.824,0.825,0.81419,0.81419,974711.6399999999,282375.27999999997,11,798210.1535133
65,,808,0.8169,0.8205,0.80411,0.80411,909588.94,243496.67,9,741513.8341318
66,,810,0.80348,0.80971,0.80348,0.80971,1110554.6600000001,364122.27,2,894576.9399589
67,,820,0.8122,0.82345,0.8122,0.82081,942375.02,698509.71,10,771797.4652671
68,,845,0.82083,0.8235,0.81115,0.8229,886591.1100000002,430022.15,25,724781.0632829001
69,,865,0.821,0.82317,0.806,0.80905,876485.71,285332.11,20,712055.1088363999
70,,876,0.81302,0.82797,0.81302,0.82509,856603.51,388724.82,11,703646.4204319
71,,896,0.8223,0.8223,0.811,0.81809,923123.6500000001,464141.38,20,753665.252177
72,,914,0.81289,0.82393,0.81289,0.82393,862658.3200000002,501354.81999999995,18,705506.3930222
73,,934,0.82556,0.82556,0.81305,0.81305,863967.8499999999,384623.43000000005,20,708256.1446288999
74,,939,0.80301,0.806,0.80292,0.80423,1151666.73,741352.02,5,925343.4415127999
75,,953,0.809,0.8198,0.809,0.81277,868856.0100000002,548227.04,14,706953.1023988
76,,969,0.8156,0.8238,0.81491,0.81999,881840.5499999999,532267.67,16,722756.8323513999
77,,1000,0.81945,0.83286,0.81945,0.83286,861417.7000000002,381122.15,31,710819.0128142001
78,,1015,0.8325,0.83689,0.82903,0.835,857300.0700000001,333894.47000000003,15,714091.5080013999
79,,1040,0.83895,0.84077,0.82193,0.82193,930718.98,261634.44000000003,25,774765.0175080999
80,,1066,0.821,0.83325,0.82,0.83324,850977.7000000001,413589.0999999999,26,702795.3820473
81,,1087,0.8335,0.84494,0.83082,0.84387,854221.9600000001,471266.75000000006,21,717524.6660153
82,,1115,0.84688,0.84688,0.83588,0.83588,857330.2299999999,292976.65,28,720904.5948328001
83,,1128,0.83307,0.83485,0.8275,0.8296,850583.13,433693.88,13,707128.8426076
84,,1162,0.83309,0.83309,0.82714,0.83086,849956.9499999998,508926.42999999993,34,705743.6063150996
85,,1174,0.82865,0.82865,0.81042,0.8172,857225.2899999999,209822.11,12,701400.7052255999
