,ret,trgt,bin,side
2018-05-05 08:35:00,,0.01,0,
2018-05-05 11:30:00,,0.01,0,
2018-05-05 13:05:00,,0.01,0,
2018-05-05 13:15:00,,0.01,0,
2018-05-05 13:55:00,-0.02906371702303423,0.01,0,-1.0
2018-05-05 15:00:00,0.02118964902903997,0.01,1,-1.0
2018-05-05 15:55:00,,0.01,0,
2018-05-05 16:10:00,0.019274452164617983,0.01,1,-1.0
2018-05-05 17:25:00,,0.01,0,
2018-05-05 18:30:00,,0.01,0,
2018-05-05 20:25:00,,0.01,0,
2018-05-05 21:45:00,,0.01,0,
2018-05-06 00:50:00,,0.01,0,
2018-05-06 02:00:00,,0.01,0,
2018-05-06 02:50:00,,0.01,0,
2018-05-06 05:00:00,,0.01,0,
2018-05-06 05:25:00,,0.01,0,
2018-05-06 06:05:00,,0.01,0,
2018-05-06 06:25:00,0.014733818282907762,0.01,1,1.0
2018-05-06 06:50:00,-0.026813844116706953,0.01,0,1.0
2018-05-06 08:15:00,-0.020665334160406168,0.01,0,1.0
2018-05-06 09:05:00,,0.01,0,
2018-05-06 10:15:00,-0.020046207427671492,0.01,0,1.0
2018-05-06 11:50:00,,0.01,0,
2018-05-06 12:15:00,0.01531884574278597,0.01,1,1.0
2018-05-06 13:00:00,0.012374269005847927,0.01,1,1.0
2018-05-06 14:25:00,,0.01,0,
2018-05-06 18:05:00,,0.01,0,
2018-05-06 20:35:00,,0.01,0,
2018-05-07 00:05:00,,0.01,0,
2018-05-07 01:15:00,,0.01,0,
2018-05-07 01:45:00,-0.02201384074628132,0.01,0,1.0
2018-05-07 02:40:00,0.010697748682739983,0.01,1,1.0
2018-05-07 03:25:00,0.02076830284413833,0.01,1,1.0
2018-05-07 03:35:00,0.013708611725185449,0.01,1,1.0
2018-05-07 04:25:00,,0.01,0,
2018-05-07 08:10:00,,0.01,0,
2018-05-07 09:05:00,,0.01,0,
2018-05-07 10:45:00,,0.01,0,
2018-05-07 12:15:00,,0.01,0,
2018-05-07 13:55:00,,0.01,0,
