,ret,trgt,bin,side
2017-11-03 11:35:00.000,,0.01,0,
2017-11-04 00:40:00.000,,0.01,0,
2017-11-04 16:45:00.000,,0.01,0,
2017-11-05 13:25:00.000,,0.01,0,
2017-11-06 05:30:00.000,,0.01,0,
2017-11-06 19:35:00.000,,0.01,0,
2017-11-07 10:15:00.000,,0.01,0,
2017-11-08 02:55:00.000,,0.01,0,
2017-11-08 15:40:00.000,,0.01,0,
2017-11-08 19:10:00.000,,0.01,0,
2017-11-09 02:00:00.000,,0.01,0,
2017-11-09 12:00:00.000,,0.01,0,
2017-11-10 04:55:00.000,,0.01,0,
2017-11-10 12:35:00.000,,0.01,0,
2017-11-10 18:40:00.000,0.03643273512574985,0.01,1,1.0
2017-11-11 01:35:00.000,-0.06559913980027632,0.01,0,1.0
2017-11-11 13:35:00.000,,0.01,0,
2017-11-11 20:25:00.000,-0.04419311292422112,0.01,0,1.0
2017-11-12 04:00:00.000,0.05204203130011775,0.01,1,1.0
2017-11-12 07:15:00.000,0.06177786139345498,0.01,1,1.0
2017-11-12 10:50:00.000,,0.01,0,
2017-11-12 20:00:00.000,,0.01,0,
2017-11-13 05:25:00.000,,0.01,0,
2017-11-13 14:15:00.000,,0.01,0,
2017-11-14 02:45:00.000,,0.01,0,
2017-11-15 00:50:00.000,,0.01,0,
2017-11-15 14:15:00.000,,0.01,0,
2017-11-16 05:30:00.000,,0.01,0,
2017-11-16 14:50:00.000,,0.01,0,
2017-11-16 22:40:00.000,,0.01,0,
2017-11-17 05:05:00.000,0.01045114720288809,0.01,1,-1.0
2017-11-17 10:10:00.000,,0.01,0,
2017-11-17 15:25:00.000,,0.01,0,
2017-11-17 21:15:00.000,,0.01,0,
2017-11-18 02:40:00.000,,0.01,0,
2017-11-18 08:35:00.000,,0.01,0,
2017-11-18 14:45:00.000,,0.01,0,
2017-11-18 20:05:00.000,,0.01,0,
2017-11-19 01:55:00.000,,0.01,0,
2017-11-19 08:00:00.000,,0.01,0,
2017-11-19 13:35:00.000,,0.01,0,
2017-11-19 19:35:00.000,,0.01,0,
2017-11-19 23:40:00.000,,0.01,0,
2017-11-20 10:55:00.000,,0.01,0,
2017-11-20 16:10:00.000,,0.01,0,
2017-11-20 21:05:00.000,,0.01,0,
2017-11-21 02:30:00.000,,0.01,0,
2017-11-21 05:00:00.000,,0.01,0,
2017-11-21 08:30:00.000,,0.01,0,
2017-11-21 13:40:00.000,,0.01,0,
2017-11-21 19:00:00.000,,0.01,0,
2017-11-22 02:00:00.000,,0.01,0,
2017-11-22 07:55:00.000,,0.01,0,
2017-11-22 12:20:00.000,,0.01,0,
2017-11-22 18:20:00.000,,0.01,0,
2017-11-23 01:25:00.000,,0.01,0,
2017-11-23 07:15:00.000,,0.01,0,
2017-11-23 11:35:00.000,,0.01,0,
2017-11-23 15:30:00.000,,0.01,0,
2017-11-24 03:00:00.000,,0.01,0,
2017-11-24 08:10:00.000,,0.01,0,
2017-11-24 10:40:00.000,,0.01,0,
2017-11-24 20:05:00.000,,0.01,0,
2017-11-25 03:20:00.000,,0.01,0,
2017-11-25 08:05:00.000,,0.01,0,
2017-11-25 12:25:00.000,,0.01,0,
2017-11-25 16:15:00.000,,0.01,0,
2017-11-26 02:40:00.000,,0.01,0,
2017-11-26 07:20:00.000,,0.01,0,
2017-11-26 12:20:00.000,-0.028768274570191155,0.01,0,-1.0
2017-11-26 16:30:00.000,,0.01,0,
2017-11-26 21:10:00.000,-0.05575351079438107,0.01,0,-1.0
2017-11-27 01:15:00.000,,0.01,0,
2017-11-27 05:10:00.000,-0.029391712594407315,0.01,0,-1.0
2017-11-27 16:15:00.000,,0.01,0,
2017-11-27 20:10:00.000,,0.01,0,
2017-11-28 01:05:00.000,,0.01,0,
2017-11-28 05:05:00.000,,0.01,0,
2017-11-28 08:35:00.000,,0.01,0,
2017-11-28 11:45:00.000,,0.01,0,
2017-11-28 14:35:00.000,,0.01,0,
2017-11-28 17:40:00.000,,0.01,0,
2017-11-29 01:30:00.000,,0.01,0,
2017-11-29 04:50:00.000,,0.01,0,
2017-11-29 05:55:00.000,,0.01,0,
2017-11-29 07:35:00.000,,0.01,0,
2017-11-29 10:20:00.000,,0.01,0,
2017-11-29 12:25:00.000,,0.01,0,
2017-11-29 14:40:00.000,,0.01,0,
2017-11-29 15:25:00.000,,0.01,0,
2017-11-29 16:05:00.000,,0.01,0,
2017-11-29 17:10:00.000,,0.01,0,
2017-11-29 18:30:00.000,,0.01,0,
2017-11-29 19:20:00.000,,0.01,0,
2017-11-29 19:45:00.000,,0.01,0,
2017-11-29 20:15:00.000,,0.01,0,
2017-11-29 20:55:00.000,,0.01,0,
2017-11-29 21:50:00.000,,0.01,0,
2017-11-29 22:45:00.000,,0.01,0,
2017-11-29 23:50:00.000,,0.01,0,
2017-11-30 01:05:00.000,,0.01,0,
2017-11-30 02:30:00.000,,0.01,0,
2017-11-30 04:25:00.000,,0.01,0,
2017-11-30 06:15:00.000,,0.01,0,
2017-11-30 07:45:00.000,,0.01,0,
2017-11-30 11:55:00.000,,0.01,0,
2017-11-30 13:50:00.000,,0.01,0,
2017-11-30 15:00:00.000,-0.024727422075665584,0.01,0,1.0
2017-11-30 16:40:00.000,,0.01,0,
2017-11-30 19:20:00.000,,0.01,0,
2017-11-30 22:10:00.000,,0.01,0,
2017-12-01 00:50:00.000,,0.01,0,
2017-12-01 07:30:00.000,,0.01,0,
2017-12-01 10:30:00.000,,0.01,0,
2017-12-01 12:55:00.000,,0.01,0,
2017-12-01 14:25:00.000,,0.01,0,
2017-12-01 16:20:00.000,-0.029490502146114705,0.01,0,-1.0
2017-12-01 19:40:00.000,,0.01,0,
2017-12-01 22:50:00.000,,0.01,0,
2017-12-02 01:40:00.000,,0.01,0,
2017-12-02 04:15:00.000,-0.03938857599693435,0.01,0,-1.0
2017-12-02 07:15:00.000,,0.01,0,
2017-12-02 10:05:00.000,,0.01,0,
2017-12-02 12:40:00.000,,0.01,0,
2017-12-02 15:30:00.000,,0.01,0,
2017-12-02 20:45:00.000,,0.01,0,
2017-12-03 01:15:00.000,,0.01,0,
2017-12-03 06:00:00.000,,0.01,0,
2017-12-03 12:05:00.000,,0.01,0,
2017-12-03 14:30:00.000,,0.01,0,
2017-12-03 17:25:00.000,,0.01,0,
2017-12-03 20:35:00.000,,0.01,0,
2017-12-03 22:00:00.000,,0.01,0,
2017-12-03 23:50:00.000,,0.01,0,
2017-12-04 02:35:00.000,,0.01,0,
2017-12-04 07:00:00.000,,0.01,0,
2017-12-04 11:50:00.000,,0.01,0,
2017-12-04 15:00:00.000,,0.01,0,
2017-12-04 17:15:00.000,,0.01,0,
2017-12-04 20:30:00.000,,0.01,0,
2017-12-04 23:20:00.000,,0.01,0,
2017-12-05 04:35:00.000,,0.01,0,
2017-12-05 07:10:00.000,,0.01,0,
2017-12-05 09:55:00.000,,0.01,0,
2017-12-05 12:45:00.000,,0.01,0,
2017-12-05 15:35:00.000,,0.01,0,
2017-12-05 17:40:00.000,,0.01,0,
2017-12-05 23:05:00.000,,0.01,0,
2017-12-06 01:25:00.000,,0.01,0,
2017-12-06 04:15:00.000,,0.01,0,
2017-12-06 06:20:00.000,,0.01,0,
2017-12-06 08:20:00.000,-0.024734250429889748,0.01,0,-1.0
2017-12-06 10:30:00.000,,0.01,0,
2017-12-06 12:15:00.000,0.029778370760859207,0.01,1,-1.0
2017-12-06 14:15:00.000,,0.01,0,
2017-12-06 16:00:00.000,,0.01,0,
2017-12-06 18:15:00.000,,0.01,0,
2017-12-06 20:35:00.000,,0.01,0,
2017-12-06 22:30:00.000,,0.01,0,
2017-12-07 00:05:00.000,-0.026905775618335293,0.01,0,-1.0
2017-12-07 01:30:00.000,0.02652328646072566,0.01,1,-1.0
2017-12-07 02:35:00.000,-0.033658594957581944,0.01,0,-1.0
2017-12-07 04:05:00.000,,0.01,0,
2017-12-07 06:40:00.000,,0.01,0,
2017-12-07 08:45:00.000,,0.01,0,
2017-12-07 10:35:00.000,,0.01,0,
2017-12-07 11:55:00.000,,0.01,0,
2017-12-07 13:35:00.000,,0.01,0,
2017-12-07 15:10:00.000,,0.01,0,
2017-12-07 16:15:00.000,,0.01,0,
2017-12-07 17:00:00.000,,0.01,0,
2017-12-07 18:20:00.000,,0.01,0,
2017-12-07 19:50:00.000,,0.01,0,
2017-12-07 22:15:00.000,,0.01,0,
2017-12-07 23:55:00.000,,0.01,0,
2017-12-08 01:25:00.000,,0.01,0,
2017-12-08 02:30:00.000,,0.01,0,
2017-12-08 03:00:00.000,,0.01,0,
2017-12-08 03:45:00.000,,0.01,0,
2017-12-08 04:50:00.000,,0.01,0,
2017-12-08 05:15:00.000,,0.01,0,
2017-12-08 05:45:00.000,,0.01,0,
2017-12-08 06:20:00.000,,0.01,0,
2017-12-08 06:45:00.000,,0.01,0,
2017-12-08 07:05:00.000,,0.01,0,
2017-12-08 07:30:00.000,,0.01,0,
2017-12-08 08:05:00.000,,0.01,0,
2017-12-08 08:35:00.000,,0.01,0,
2017-12-08 09:05:00.000,,0.01,0,
2017-12-08 09:45:00.000,,0.01,0,
2017-12-08 10:40:00.000,,0.01,0,
2017-12-08 11:15:00.000,,0.01,0,
2017-12-08 11:45:00.000,,0.01,0,
2017-12-08 12:40:00.000,,0.01,0,
2017-12-08 13:25:00.000,,0.01,0,
2017-12-08 13:55:00.000,,0.01,0,
2017-12-08 14:25:00.000,,0.01,0,
2017-12-08 14:50:00.000,,0.01,0,
2017-12-08 15:20:00.000,,0.01,0,
2017-12-08 15:55:00.000,,0.01,0,
2017-12-08 16:35:00.000,,0.01,0,
2017-12-08 17:05:00.000,,0.01,0,
2017-12-08 17:45:00.000,,0.01,0,
2017-12-08 18:25:00.000,,0.01,0,
2017-12-08 19:05:00.000,,0.01,0,
2017-12-08 20:55:00.000,,0.01,0,
2017-12-08 21:35:00.000,,0.01,0,
2017-12-08 22:20:00.000,,0.01,0,
2017-12-08 23:25:00.000,,0.01,0,
2017-12-09 00:05:00.000,,0.01,0,
2017-12-09 01:50:00.000,,0.01,0,
2017-12-09 04:20:00.000,,0.01,0,
2017-12-09 04:50:00.000,,0.01,0,
2017-12-09 05:40:00.000,,0.01,0,
2017-12-09 06:50:00.000,,0.01,0,
2017-12-09 07:45:00.000,,0.01,0,
2017-12-09 08:35:00.000,,0.01,0,
2017-12-09 09:35:00.000,,0.01,0,
2017-12-09 10:40:00.000,,0.01,0,
2017-12-09 11:15:00.000,0.030187170898781757,0.01,1,1.0
2017-12-09 12:10:00.000,,0.01,0,
2017-12-09 13:00:00.000,,0.01,0,
2017-12-09 14:15:00.000,,0.01,0,
2017-12-09 15:15:00.000,,0.01,0,
2017-12-09 16:30:00.000,,0.01,0,
2017-12-09 17:10:00.000,-0.02759124087591258,0.01,0,1.0
2017-12-09 17:55:00.000,0.04008407146074244,0.01,1,1.0
2017-12-09 18:30:00.000,0.01255845842956127,0.01,1,1.0
2017-12-09 20:20:00.000,,0.01,0,
2017-12-09 21:00:00.000,,0.01,0,
2017-12-09 22:10:00.000,,0.01,0,
2017-12-09 23:00:00.000,,0.01,0,
2017-12-10 00:20:00.000,,0.01,0,
2017-12-10 01:20:00.000,,0.01,0,
2017-12-10 02:15:00.000,,0.01,0,
2017-12-10 03:10:00.000,,0.01,0,
2017-12-10 03:55:00.000,,0.01,0,
2017-12-10 04:30:00.000,0.05487359999999919,0.01,1,1.0
2017-12-10 05:25:00.000,0.020028939960199832,0.01,1,1.0
2017-12-10 06:00:00.000,,0.01,0,
2017-12-10 07:10:00.000,,0.01,0,
2017-12-10 08:00:00.000,,0.01,0,
2017-12-10 09:45:00.000,,0.01,0,
2017-12-10 10:35:00.000,,0.01,0,
2017-12-10 11:40:00.000,,0.01,0,
2017-12-10 12:30:00.000,,0.01,0,
2017-12-10 13:15:00.000,,0.01,0,
2017-12-10 13:55:00.000,,0.01,0,
2017-12-10 14:35:00.000,,0.01,0,
2017-12-10 15:15:00.000,0.011687455717952044,0.01,1,-1.0
2017-12-10 15:50:00.000,,0.01,0,
