,ret,trgt,bin,side
2018-05-29 05:25:00,0.010017185446591803,0.01,1,1.0
2018-05-29 05:30:00,0.02284018264840193,0.01,1,1.0
2018-05-29 05:35:00,,0.01,0,
2018-05-29 05:40:00,,0.01,0,
2018-05-29 05:45:00,,0.01,0,
2018-05-29 06:05:00,,0.01,0,
2018-05-29 06:15:00,,0.01,0,
2018-05-29 06:25:00,,0.01,0,
2018-05-29 06:30:00,,0.01,0,
2018-05-29 06:40:00,,0.01,0,
2018-05-29 06:55:00,,0.01,0,
2018-05-29 07:05:00,,0.01,0,
2018-05-29 07:15:00,,0.01,0,
2018-05-29 07:20:00,,0.01,0,
2018-05-29 07:30:00,,0.01,0,
2018-05-29 07:55:00,,0.01,0,
2018-05-29 08:05:00,,0.01,0,
2018-05-29 08:10:00,,0.01,0,
2018-05-29 08:25:00,,0.01,0,
2018-05-29 08:50:00,,0.01,0,
2018-05-29 09:05:00,,0.01,0,
2018-05-29 09:25:00,,0.01,0,
2018-05-29 09:50:00,,0.01,0,
2018-05-29 10:00:00,,0.01,0,
2018-05-29 10:10:00,,0.01,0,
2018-05-29 10:25:00,,0.01,0,
2018-05-29 10:50:00,,0.01,0,
2018-05-29 11:00:00,-0.03274853801169619,0.01,0,-1.0
2018-05-29 11:15:00,-0.020853811476799322,0.01,0,-1.0
2018-05-29 11:25:00,,0.01,0,
2018-05-29 11:30:00,0.014045848087969048,0.01,1,-1.0
2018-05-29 11:40:00,,0.01,0,
2018-05-29 11:45:00,,0.01,0,
2018-05-29 11:55:00,,0.01,0,
2018-05-29 12:00:00,,0.01,0,
2018-05-29 12:15:00,,0.01,0,
2018-05-29 12:30:00,,0.01,0,
2018-05-29 12:40:00,,0.01,0,
2018-05-29 13:00:00,,0.01,0,
2018-05-29 13:10:00,,0.01,0,
2018-05-29 13:20:00,,0.01,0,
2018-05-29 13:30:00,,0.01,0,
2018-05-29 13:55:00,,0.01,0,
2018-05-29 14:05:00,,0.01,0,
2018-05-29 14:15:00,,0.01,0,
2018-05-29 14:45:00,,0.01,0,
2018-05-29 14:55:00,,0.01,0,
2018-05-29 15:30:00,,0.01,0,
2018-05-29 15:40:00,,0.01,0,
2018-05-29 15:50:00,,0.01,0,
2018-05-29 16:10:00,,0.01,0,
2018-05-29 16:20:00,,0.01,0,
2018-05-29 16:35:00,,0.01,0,
2018-05-29 16:45:00,,0.01,0,
2018-05-29 17:20:00,,0.01,0,
2018-05-29 17:35:00,,0.01,0,
2018-05-29 17:45:00,,0.01,0,
2018-05-29 17:55:00,,0.01,0,
2018-05-29 18:05:00,0.010468966990706097,0.01,1,-1.0
2018-05-29 18:10:00,0.01155610155610165,0.01,1,-1.0
2018-05-29 18:20:00,0.010389313848612636,0.01,1,-1.0
2018-05-29 18:35:00,,0.01,0,
2018-05-29 18:40:00,,0.01,0,
2018-05-29 18:50:00,,0.01,0,
2018-05-29 19:10:00,,0.01,0,
2018-05-29 19:20:00,,0.01,0,
2018-05-29 19:40:00,,0.01,0,
2018-05-29 19:50:00,,0.01,0,
2018-05-29 20:00:00,,0.01,0,
2018-05-29 20:15:00,,0.01,0,
2018-05-29 20:30:00,,0.01,0,
2018-05-29 20:45:00,,0.01,0,
2018-05-29 20:55:00,,0.01,0,
2018-05-29 21:15:00,,0.01,0,
2018-05-29 21:35:00,,0.01,0,
2018-05-29 21:45:00,,0.01,0,
2018-05-29 22:00:00,,0.01,0,
2018-05-29 22:15:00,,0.01,0,
2018-05-29 22:35:00,,0.01,0,
2018-05-29 22:45:00,,0.01,0,
2018-05-29 22:55:00,,0.01,0,
2018-05-29 23:05:00,,0.01,0,
2018-05-29 23:20:00,,0.01,0,
2018-05-29 23:35:00,,0.01,0,
2018-05-29 23:55:00,,0.01,0,
2018-05-30 00:05:00,,0.01,0,
2018-05-30 00:20:00,,0.01,0,
2018-05-30 00:35:00,,0.01,0,
2018-05-30 00:45:00,,0.01,0,
2018-05-30 00:55:00,,0.01,0,
2018-05-30 01:05:00,,0.01,0,
2018-05-30 01:15:00,,0.01,0,
2018-05-30 01:25:00,0.010520234976323373,0.01,1,-1.0
2018-05-30 01:55:00,0.015316205533596694,0.01,1,-1.0
2018-05-30 02:15:00,,0.01,0,
2018-05-30 02:20:00,,0.01,0,
2018-05-30 02:40:00,,0.01,0,
2018-05-30 02:55:00,,0.01,0,
2018-05-30 03:10:00,,0.01,0,
2018-05-30 03:20:00,,0.01,0,
2018-05-30 03:50:00,,0.01,0,
2018-05-30 04:00:00,,0.01,0,
2018-05-30 04:10:00,,0.01,0,
2018-05-30 04:25:00,,0.01,0,
2018-05-30 04:50:00,,0.01,0,
2018-05-30 05:25:00,,0.01,0,
2018-05-30 06:10:00,,0.01,0,
2018-05-30 06:30:00,,0.01,0,
2018-05-30 06:40:00,,0.01,0,
2018-05-30 06:50:00,0.01462714395320619,0.01,1,1.0
2018-05-30 07:20:00,,0.01,0,
2018-05-30 07:35:00,,0.01,0,
2018-05-30 07:55:00,,0.01,0,
2018-05-30 08:20:00,,0.01,0,
2018-05-30 08:40:00,,0.01,0,
2018-05-30 08:55:00,,0.01,0,
2018-05-30 09:00:00,,0.01,0,
2018-05-30 09:10:00,,0.01,0,
2018-05-30 09:20:00,,0.01,0,
2018-05-30 09:30:00,,0.01,0,
2018-05-30 09:45:00,,0.01,0,
2018-05-30 09:55:00,,0.01,0,
2018-05-30 10:15:00,,0.01,0,
2018-05-30 10:25:00,,0.01,0,
2018-05-30 11:10:00,,0.01,0,
2018-05-30 11:25:00,,0.01,0,
2018-05-30 11:35:00,,0.01,0,
2018-05-30 11:50:00,,0.01,0,
2018-05-30 12:10:00,,0.01,0,
2018-05-30 12:20:00,,0.01,0,
2018-05-30 12:45:00,,0.01,0,
2018-05-30 13:15:00,,0.01,0,
2018-05-30 13:25:00,,0.01,0,
2018-05-30 13:30:00,,0.01,0,
2018-05-30 13:40:00,-0.024293525557872342,0.01,0,1.0
2018-05-30 14:00:00,,0.01,0,
2018-05-30 14:10:00,,0.01,0,
2018-05-30 14:20:00,,0.01,0,
2018-05-30 14:30:00,,0.01,0,
2018-05-30 14:40:00,,0.01,0,
2018-05-30 14:45:00,,0.01,0,
2018-05-30 14:50:00,0.019689842901979615,0.01,1,1.0
2018-05-30 15:00:00,0.013312038602363296,0.01,1,1.0
2018-05-30 15:05:00,0.021968661977770143,0.01,1,1.0
2018-05-30 15:15:00,,0.01,0,
2018-05-30 15:30:00,,0.01,0,
2018-05-30 15:35:00,,0.01,0,
2018-05-30 15:45:00,,0.01,0,
2018-05-30 15:55:00,,0.01,0,
2018-05-30 16:05:00,,0.01,0,
2018-05-30 16:25:00,,0.01,0,
2018-05-30 17:00:00,,0.01,0,
2018-05-30 17:10:00,,0.01,0,
2018-05-30 17:30:00,,0.01,0,
2018-05-30 17:35:00,,0.01,0,
2018-05-30 17:45:00,,0.01,0,
2018-05-30 18:25:00,,0.01,0,
2018-05-30 19:35:00,,0.01,0,
2018-05-30 20:05:00,,0.01,0,
2018-05-30 20:25:00,,0.01,0,
2018-05-30 20:55:00,,0.01,0,
2018-05-30 21:15:00,,0.01,0,
2018-05-30 22:20:00,,0.01,0,
2018-05-30 22:55:00,,0.01,0,
2018-05-30 23:15:00,,0.01,0,
2018-05-30 23:25:00,,0.01,0,
2018-05-31 00:00:00,-0.02212356518653613,0.01,0,-1.0
2018-05-31 00:10:00,,0.01,0,
2018-05-31 00:20:00,,0.01,0,
2018-05-31 00:40:00,0.010235244189626513,0.01,1,-1.0
2018-05-31 00:55:00,0.010716639209225276,0.01,1,-1.0
2018-05-31 01:05:00,0.010210280179408171,0.01,1,-1.0
2018-05-31 01:35:00,,0.01,0,
2018-05-31 01:40:00,,0.01,0,
2018-05-31 01:50:00,,0.01,0,
2018-05-31 02:10:00,,0.01,0,
2018-05-31 02:20:00,,0.01,0,
2018-05-31 02:35:00,,0.01,0,
2018-05-31 03:00:00,,0.01,0,
2018-05-31 03:05:00,,0.01,0,
2018-05-31 03:15:00,,0.01,0,
2018-05-31 03:50:00,,0.01,0,
2018-05-31 04:00:00,,0.01,0,
2018-05-31 04:45:00,,0.01,0,
2018-05-31 05:05:00,,0.01,0,
2018-05-31 05:25:00,,0.01,0,
2018-05-31 05:45:00,,0.01,0,
2018-05-31 06:25:00,,0.01,0,
2018-05-31 06:35:00,,0.01,0,
2018-05-31 06:40:00,,0.01,0,
2018-05-31 07:00:00,,0.01,0,
2018-05-31 07:20:00,,0.01,0,
2018-05-31 07:30:00,,0.01,0,
2018-05-31 08:10:00,,0.01,0,
2018-05-31 08:20:00,,0.01,0,
2018-05-31 09:00:00,,0.01,0,
2018-05-31 09:10:00,,0.01,0,
2018-05-31 09:30:00,,0.01,0,
2018-05-31 09:40:00,,0.01,0,
2018-05-31 09:55:00,,0.01,0,
2018-05-31 11:00:00,,0.01,0,
2018-05-31 11:50:00,,0.01,0,
2018-05-31 12:20:00,,0.01,0,
2018-05-31 12:50:00,,0.01,0,
2018-05-31 13:00:00,,0.01,0,
2018-05-31 13:10:00,,0.01,0,
2018-05-31 13:20:00,0.018107944605222137,0.01,1,1.0
2018-05-31 13:50:00,,0.01,0,
2018-05-31 14:20:00,,0.01,0,
2018-05-31 14:55:00,,0.01,0,
2018-05-31 15:25:00,,0.01,0,
2018-05-31 16:05:00,,0.01,0,
2018-05-31 16:40:00,,0.01,0,
2018-05-31 17:20:00,,0.01,0,
2018-05-31 17:30:00,0.011295535380767552,0.01,1,-1.0
2018-05-31 17:35:00,0.010461364736247925,0.01,1,-1.0
2018-05-31 17:40:00,0.010783028520271243,0.01,1,-1.0
2018-05-31 17:45:00,0.012152220008995851,0.01,1,-1.0
2018-05-31 17:55:00,0.010695101675406216,0.01,1,-1.0
2018-05-31 18:05:00,0.0120156782111418,0.01,1,-1.0
2018-05-31 18:15:00,,0.01,0,
2018-05-31 18:45:00,,0.01,0,
2018-05-31 19:00:00,,0.01,0,
2018-05-31 19:20:00,,0.01,0,
2018-05-31 19:30:00,,0.01,0,
2018-05-31 20:00:00,,0.01,0,
2018-05-31 20:30:00,,0.01,0,
2018-05-31 20:55:00,,0.01,0,
2018-05-31 21:05:00,,0.01,0,
2018-05-31 21:15:00,,0.01,0,
2018-05-31 21:35:00,,0.01,0,
2018-05-31 22:05:00,,0.01,0,
2018-05-31 22:10:00,-0.024543630401800964,0.01,0,1.0
2018-05-31 22:30:00,,0.01,0,
2018-05-31 22:40:00,,0.01,0,
2018-05-31 22:50:00,0.010157394599638048,0.01,1,1.0
2018-05-31 23:10:00,,0.01,0,
2018-05-31 23:20:00,,0.01,0,
2018-05-31 23:45:00,,0.01,0,
2018-06-01 00:40:00,,0.01,0,
2018-06-01 01:00:00,,0.01,0,
2018-06-01 01:25:00,,0.01,0,
2018-06-01 01:40:00,,0.01,0,
2018-06-01 01:50:00,,0.01,0,
2018-06-01 02:00:00,,0.01,0,
2018-06-01 02:45:00,,0.01,0,
2018-06-01 03:25:00,,0.01,0,
2018-06-01 03:45:00,,0.01,0,
2018-06-01 04:00:00,,0.01,0,
2018-06-01 04:25:00,,0.01,0,
2018-06-01 04:35:00,,0.01,0,
2018-06-01 05:00:00,,0.01,0,
2018-06-01 05:25:00,,0.01,0,
2018-06-01 05:45:00,,0.01,0,
2018-06-01 05:55:00,0.010229925013656382,0.01,1,1.0
2018-06-01 06:15:00,,0.01,0,
2018-06-01 06:50:00,,0.01,0,
2018-06-01 07:00:00,,0.01,0,
2018-06-01 07:30:00,,0.01,0,
2018-06-01 07:40:00,,0.01,0,
2018-06-01 08:00:00,,0.01,0,
2018-06-01 08:10:00,,0.01,0,
2018-06-01 08:20:00,,0.01,0,
2018-06-01 09:00:00,,0.01,0,
2018-06-01 09:10:00,,0.01,0,
2018-06-01 09:30:00,,0.01,0,
2018-06-01 10:55:00,,0.01,0,
2018-06-01 11:50:00,,0.01,0,
2018-06-01 11:55:00,0.012169209967162642,0.01,1,1.0
2018-06-01 12:05:00,0.01546417549420287,0.01,1,1.0
2018-06-01 12:40:00,,0.01,0,
2018-06-01 13:20:00,,0.01,0,
2018-06-01 13:55:00,,0.01,0,
2018-06-01 14:15:00,,0.01,0,
2018-06-01 15:05:00,,0.01,0,
2018-06-01 15:40:00,,0.01,0,
2018-06-01 16:15:00,0.010197900676264027,0.01,1,-1.0
2018-06-01 16:25:00,0.013009924666182116,0.01,1,-1.0
2018-06-01 16:40:00,,0.01,0,
2018-06-01 17:00:00,0.011375011375011512,0.01,1,-1.0
2018-06-01 17:30:00,,0.01,0,
2018-06-01 17:50:00,,0.01,0,
2018-06-01 19:00:00,,0.01,0,
2018-06-01 19:30:00,,0.01,0,
2018-06-01 19:50:00,,0.01,0,
2018-06-01 20:10:00,,0.01,0,
2018-06-01 20:20:00,,0.01,0,
2018-06-01 20:30:00,,0.01,0,
2018-06-01 20:40:00,,0.01,0,
2018-06-01 20:55:00,-0.020471161657189096,0.01,0,-1.0
2018-06-01 21:10:00,,0.01,0,
2018-06-01 21:20:00,,0.01,0,
2018-06-01 21:45:00,,0.01,0,
2018-06-01 22:00:00,,0.01,0,
2018-06-01 22:25:00,,0.01,0,
2018-06-01 22:35:00,-0.02163473199126842,0.01,0,-1.0
2018-06-01 23:35:00,,0.01,0,
2018-06-01 23:45:00,,0.01,0,
2018-06-02 00:25:00,,0.01,0,
2018-06-02 00:55:00,,0.01,0,
2018-06-02 01:10:00,,0.01,0,
2018-06-02 01:20:00,,0.01,0,
2018-06-02 01:40:00,,0.01,0,
2018-06-02 01:50:00,,0.01,0,
2018-06-02 02:25:00,,0.01,0,
2018-06-02 02:35:00,,0.01,0,
2018-06-02 02:45:00,-0.02371538370112114,0.01,0,-1.0
