,ret,trgt,bin,side
2018-06-13 02:50:00,,0.01,0,
2018-06-13 03:35:00,,0.01,0,
2018-06-13 04:10:00,,0.01,0,
2018-06-13 04:40:00,,0.01,0,
2018-06-13 05:00:00,,0.01,0,
2018-06-13 05:25:00,,0.01,0,
2018-06-13 07:35:00,,0.01,0,
2018-06-13 07:55:00,,0.01,0,
2018-06-13 08:05:00,-0.021235394751210168,0.01,0,1.0
2018-06-13 08:30:00,-0.024021622422155664,0.01,0,1.0
2018-06-13 08:45:00,0.01005593240509306,0.01,1,1.0
2018-06-13 09:00:00,-0.024151692173282058,0.01,0,1.0
2018-06-13 09:10:00,0.017251323999790236,0.01,1,1.0
2018-06-13 09:20:00,,0.01,0,
2018-06-13 09:40:00,,0.01,0,
2018-06-13 09:45:00,,0.01,0,
2018-06-13 10:20:00,,0.01,0,
2018-06-13 10:45:00,,0.01,0,
2018-06-13 11:15:00,,0.01,0,
2018-06-13 11:45:00,,0.01,0,
2018-06-13 12:10:00,,0.01,0,
2018-06-13 12:25:00,,0.01,0,
2018-06-13 13:05:00,,0.01,0,
2018-06-13 13:20:00,,0.01,0,
2018-06-13 13:40:00,,0.01,0,
2018-06-13 14:15:00,,0.01,0,
2018-06-13 15:00:00,,0.01,0,
2018-06-13 15:20:00,,0.01,0,
2018-06-13 15:45:00,,0.01,0,
2018-06-13 15:55:00,,0.01,0,
2018-06-13 16:15:00,,0.01,0,
2018-06-13 16:25:00,,0.01,0,
2018-06-13 16:30:00,0.01188209759024561,0.01,1,1.0
2018-06-13 16:40:00,,0.01,0,
2018-06-13 16:50:00,,0.01,0,
2018-06-13 17:35:00,,0.01,0,
2018-06-13 17:45:00,,0.01,0,
2018-06-13 17:55:00,,0.01,0,
2018-06-13 18:00:00,,0.01,0,
2018-06-13 18:05:00,,0.01,0,
2018-06-13 18:25:00,,0.01,0,
2018-06-13 18:40:00,,0.01,0,
2018-06-13 19:05:00,,0.01,0,
2018-06-13 20:20:00,,0.01,0,
2018-06-13 20:55:00,,0.01,0,
2018-06-13 21:20:00,,0.01,0,
2018-06-13 21:55:00,,0.01,0,
2018-06-13 22:30:00,,0.01,0,
2018-06-13 23:00:00,,0.01,0,
2018-06-13 23:20:00,,0.01,0,
2018-06-13 23:40:00,,0.01,0,
2018-06-14 00:15:00,,0.01,0,
2018-06-14 00:45:00,,0.01,0,
2018-06-14 01:45:00,,0.01,0,
2018-06-14 02:05:00,0.010747014098952956,0.01,1,1.0
2018-06-14 02:15:00,0.010309202544211082,0.01,1,1.0
2018-06-14 02:40:00,,0.01,0,
2018-06-14 03:00:00,,0.01,0,
2018-06-14 03:15:00,,0.01,0,
2018-06-14 04:20:00,,0.01,0,
2018-06-14 04:40:00,,0.01,0,
2018-06-14 06:00:00,,0.01,0,
2018-06-14 06:15:00,,0.01,0,
2018-06-14 06:30:00,,0.01,0,
2018-06-14 06:55:00,,0.01,0,
2018-06-14 08:05:00,,0.01,0,
2018-06-14 09:55:00,,0.01,0,
2018-06-14 10:30:00,,0.01,0,
2018-06-14 11:15:00,,0.01,0,
2018-06-14 11:40:00,,0.01,0,
2018-06-14 12:10:00,,0.01,0,
2018-06-14 12:40:00,,0.01,0,
2018-06-14 13:05:00,,0.01,0,
2018-06-14 13:30:00,0.01287386605191454,0.01,1,1.0
2018-06-14 14:05:00,0.017473684210526086,0.01,1,1.0
2018-06-14 14:20:00,0.014361957303909545,0.01,1,1.0
2018-06-14 14:40:00,,0.01,0,
2018-06-14 15:10:00,,0.01,0,
2018-06-14 15:30:00,,0.01,0,
2018-06-14 16:00:00,,0.01,0,
2018-06-14 16:35:00,,0.01,0,
2018-06-14 16:50:00,,0.01,0,
2018-06-14 17:20:00,,0.01,0,
2018-06-14 17:30:00,,0.01,0,
2018-06-14 17:40:00,,0.01,0,
2018-06-14 18:10:00,,0.01,0,
2018-06-14 18:25:00,,0.01,0,
2018-06-14 18:35:00,,0.01,0,
2018-06-14 18:55:00,,0.01,0,
2018-06-14 19:15:00,,0.01,0,
2018-06-14 19:50:00,,0.01,0,
2018-06-14 20:00:00,,0.01,0,
2018-06-14 21:55:00,,0.01,0,
2018-06-14 22:45:00,,0.01,0,
2018-06-14 23:05:00,,0.01,0,
2018-06-14 23:45:00,,0.01,0,
2018-06-15 00:10:00,,0.01,0,
2018-06-15 00:35:00,,0.01,0,
2018-06-15 01:25:00,,0.01,0,
2018-06-15 01:55:00,,0.01,0,
2018-06-15 03:05:00,,0.01,0,
2018-06-15 03:40:00,,0.01,0,
2018-06-15 04:15:00,,0.01,0,
2018-06-15 04:45:00,,0.01,0,
2018-06-15 05:30:00,,0.01,0,
2018-06-15 05:50:00,,0.01,0,
2018-06-15 06:20:00,,0.01,0,
2018-06-15 06:55:00,,0.01,0,
2018-06-15 07:30:00,,0.01,0,
2018-06-15 08:45:00,,0.01,0,
2018-06-15 09:15:00,,0.01,0,
2018-06-15 10:00:00,,0.01,0,
2018-06-15 11:00:00,,0.01,0,
2018-06-15 11:15:00,,0.01,0,
2018-06-15 11:35:00,,0.01,0,
2018-06-15 11:40:00,,0.01,0,
2018-06-15 12:00:00,,0.01,0,
2018-06-15 12:30:00,,0.01,0,
2018-06-15 13:05:00,,0.01,0,
2018-06-15 13:45:00,0.018189223194350346,0.01,1,1.0
2018-06-15 14:15:00,,0.01,0,
2018-06-15 15:10:00,,0.01,0,
2018-06-15 16:20:00,,0.01,0,
2018-06-15 16:40:00,0.010829719782822433,0.01,1,-1.0
2018-06-15 18:20:00,,0.01,0,
2018-06-15 18:30:00,,0.01,0,
2018-06-15 19:00:00,,0.01,0,
2018-06-15 20:05:00,,0.01,0,
2018-06-15 20:25:00,,0.01,0,
2018-06-15 20:50:00,,0.01,0,
2018-06-15 21:40:00,,0.01,0,
2018-06-15 22:25:00,,0.01,0,
2018-06-15 23:00:00,,0.01,0,
2018-06-15 23:30:00,0.017370721048798332,0.01,1,1.0
2018-06-15 23:55:00,0.01074529667149049,0.01,1,1.0
2018-06-16 00:15:00,,0.01,0,
2018-06-16 00:35:00,,0.01,0,
2018-06-16 01:45:00,,0.01,0,
2018-06-16 01:50:00,,0.01,0,
2018-06-16 02:05:00,,0.01,0,
2018-06-16 02:45:00,-0.024672106039931974,0.01,0,-1.0
2018-06-16 03:05:00,,0.01,0,
2018-06-16 04:15:00,,0.01,0,
2018-06-16 04:50:00,,0.01,0,
2018-06-16 05:20:00,,0.01,0,
2018-06-16 05:35:00,0.01222557340253938,0.01,1,-1.0
