,ret,trgt,bin,side
2017-11-03 09:20:00.000,,0.01,0,
2017-11-04 03:30:00.000,,0.01,0,
2017-11-05 00:40:00.000,-0.008019166139819456,0.01,0,-1.0
2017-11-06 00:25:00.000,0.01981050818260055,0.01,1,-1.0
2017-11-06 19:30:00.000,,0.01,0,
2017-11-07 14:40:00.000,,0.01,0,
2017-11-08 08:20:00.000,-0.05958269913749359,0.01,0,-1.0
2017-11-08 18:25:00.000,,0.01,0,
2017-11-08 22:50:00.000,-0.024471599474005012,0.01,0,-1.0
2017-11-09 11:25:00.000,-0.019959766140692614,0.01,0,-1.0
2017-11-10 01:20:00.000,0.06050201673389122,0.01,1,-1.0
2017-11-10 12:55:00.000,0.018054094410697052,0.01,1,-1.0
2017-11-10 19:50:00.000,-0.03386885245901672,0.01,0,-1.0
2017-11-11 10:20:00.000,,0.01,0,
2017-11-11 22:50:00.000,,0.01,0,
2017-11-12 06:40:00.000,,0.01,0,
2017-11-12 11:25:00.000,,0.01,0,
2017-11-12 19:40:00.000,0.01636170006777027,0.01,1,1.0
2017-11-13 02:55:00.000,-0.05218490429758038,0.01,0,-1.0
2017-11-13 13:10:00.000,,0.01,0,
2017-11-14 01:10:00.000,,0.01,0,
2017-11-14 08:25:00.000,,0.01,0,
2017-11-14 14:20:00.000,-0.025133145832087145,0.01,0,-1.0
2017-11-15 00:40:00.000,0.019429617202989746,0.01,1,-1.0
2017-11-15 16:50:00.000,,0.01,0,
2017-11-16 05:20:00.000,,0.01,0,
2017-11-17 00:35:00.000,,0.01,0,
2017-11-17 07:20:00.000,,0.01,0,
2017-11-17 14:20:00.000,,0.01,0,
2017-11-18 08:55:00.000,,0.01,0,
2017-11-18 18:15:00.000,,0.01,0,
2017-11-19 03:40:00.000,,0.01,0,
2017-11-19 08:10:00.000,0.011139817206989644,0.01,1,-1.0
2017-11-19 14:45:00.000,-0.014239943040228242,0.01,0,-1.0
2017-11-19 22:45:00.000,-0.021770682148040787,0.01,0,-1.0
2017-11-20 19:10:00.000,,0.01,0,
2017-11-21 02:40:00.000,,0.01,0,
2017-11-21 04:15:00.000,,0.01,0,
2017-11-21 07:35:00.000,,0.01,0,
2017-11-21 13:15:00.000,,0.01,0,
2017-11-22 04:15:00.000,,0.01,0,
2017-11-22 12:00:00.000,,0.01,0,
2017-11-22 17:45:00.000,,0.01,0,
2017-11-23 00:50:00.000,,0.01,0,
2017-11-23 06:05:00.000,,0.01,0,
2017-11-23 10:15:00.000,,0.01,0,
2017-11-23 14:25:00.000,-0.03897843034100179,0.01,0,-1.0
2017-11-23 17:45:00.000,,0.01,0,
2017-11-23 23:45:00.000,0.022397200349955737,0.01,1,-1.0
2017-11-24 09:20:00.000,,0.01,0,
2017-11-24 12:45:00.000,,0.01,0,
2017-11-24 14:15:00.000,,0.01,0,
2017-11-24 16:20:00.000,-0.049506412419844104,0.01,0,-1.0
2017-11-24 19:50:00.000,-0.03377067161660474,0.01,0,-1.0
2017-11-25 00:40:00.000,0.019526881720430378,0.01,1,-1.0
2017-11-25 03:25:00.000,0.019066403681788024,0.01,1,-1.0
2017-11-25 07:45:00.000,,0.01,0,
2017-11-25 11:35:00.000,,0.01,0,
2017-11-26 00:10:00.000,,0.01,0,
2017-11-26 08:55:00.000,,0.01,0,
2017-11-26 13:50:00.000,,0.01,0,
2017-11-26 18:25:00.000,,0.01,0,
2017-11-27 00:00:00.000,,0.01,0,
2017-11-27 03:50:00.000,,0.01,0,
2017-11-27 07:00:00.000,,0.01,0,
2017-11-27 09:50:00.000,,0.01,0,
2017-11-27 13:45:00.000,,0.01,0,
2017-11-27 18:35:00.000,,0.01,0,
2017-11-28 01:05:00.000,,0.01,0,
2017-11-28 04:55:00.000,,0.01,0,
2017-11-28 08:35:00.000,,0.01,0,
2017-11-28 12:50:00.000,,0.01,0,
2017-11-28 15:25:00.000,,0.01,0,
2017-11-28 20:20:00.000,,0.01,0,
2017-11-29 01:55:00.000,,0.01,0,
2017-11-29 04:35:00.000,,0.01,0,
2017-11-29 06:30:00.000,,0.01,0,
2017-11-29 10:10:00.000,,0.01,0,
2017-11-29 12:30:00.000,,0.01,0,
2017-11-29 13:55:00.000,,0.01,0,
2017-11-29 15:30:00.000,0.08061622639817045,0.01,1,-1.0
2017-11-29 16:50:00.000,,0.01,0,
2017-11-29 19:15:00.000,,0.01,0,
2017-11-29 20:05:00.000,,0.01,0,
2017-11-29 21:35:00.000,0.06214140073023833,0.01,1,1.0
2017-11-29 23:20:00.000,0.053647866785832,0.01,1,1.0
2017-11-30 01:25:00.000,,0.01,0,
2017-11-30 04:00:00.000,-0.047701532311792194,0.01,0,1.0
2017-11-30 06:20:00.000,,0.01,0,
2017-11-30 08:15:00.000,,0.01,0,
2017-11-30 10:55:00.000,,0.01,0,
2017-11-30 12:55:00.000,,0.01,0,
2017-11-30 14:15:00.000,,0.01,0,
2017-11-30 16:10:00.000,0.07104155641238918,0.01,1,1.0
2017-11-30 19:25:00.000,0.02383529411764651,0.01,1,1.0
2017-11-30 23:30:00.000,-0.03486314434766635,0.01,0,1.0
2017-12-01 02:30:00.000,,0.01,0,
2017-12-01 09:35:00.000,,0.01,0,
2017-12-01 12:15:00.000,,0.01,0,
2017-12-01 13:55:00.000,,0.01,0,
2017-12-01 16:10:00.000,,0.01,0,
2017-12-01 20:50:00.000,,0.01,0,
2017-12-02 03:50:00.000,,0.01,0,
2017-12-02 10:05:00.000,,0.01,0,
2017-12-02 13:15:00.000,,0.01,0,
2017-12-02 17:40:00.000,,0.01,0,
2017-12-03 01:20:00.000,,0.01,0,
2017-12-03 07:00:00.000,,0.01,0,
2017-12-03 11:30:00.000,,0.01,0,
2017-12-03 18:55:00.000,,0.01,0,
2017-12-03 22:00:00.000,,0.01,0,
2017-12-04 01:00:00.000,,0.01,0,
2017-12-04 11:00:00.000,,0.01,0,
2017-12-04 14:40:00.000,,0.01,0,
2017-12-04 18:10:00.000,,0.01,0,
2017-12-04 23:25:00.000,,0.01,0,
2017-12-05 11:45:00.000,,0.01,0,
2017-12-05 15:10:00.000,,0.01,0,
2017-12-05 23:20:00.000,,0.01,0,
2017-12-06 02:35:00.000,,0.01,0,
2017-12-06 05:15:00.000,,0.01,0,
2017-12-06 08:10:00.000,-0.06464952320694162,0.01,0,1.0
2017-12-06 10:40:00.000,,0.01,0,
2017-12-06 15:50:00.000,0.04015171647379989,0.01,1,1.0
2017-12-06 18:55:00.000,-0.0592962489838581,0.01,0,1.0
2017-12-06 22:45:00.000,0.049034615574539364,0.01,1,1.0
2017-12-07 01:10:00.000,0.03877560999462104,0.01,1,1.0
2017-12-07 03:20:00.000,-0.045636414987761054,0.01,0,1.0
2017-12-07 06:55:00.000,-0.0279515761716409,0.01,0,1.0
2017-12-07 10:10:00.000,,0.01,0,
2017-12-07 12:15:00.000,,0.01,0,
2017-12-07 15:10:00.000,,0.01,0,
2017-12-07 16:45:00.000,,0.01,0,
2017-12-07 19:40:00.000,0.030371287128712288,0.01,1,1.0
2017-12-08 00:00:00.000,-0.02393689140884936,0.01,0,1.0
2017-12-08 02:30:00.000,,0.01,0,
2017-12-08 04:05:00.000,,0.01,0,
2017-12-08 05:55:00.000,,0.01,0,
2017-12-08 08:55:00.000,,0.01,0,
2017-12-08 11:25:00.000,,0.01,0,
2017-12-08 16:45:00.000,,0.01,0,
2017-12-09 00:30:00.000,,0.01,0,
2017-12-09 03:55:00.000,,0.01,0,
2017-12-09 06:15:00.000,,0.01,0,
2017-12-09 09:00:00.000,0.04159351496629626,0.01,1,-1.0
2017-12-09 11:00:00.000,0.026612669945038414,0.01,1,-1.0
2017-12-09 16:30:00.000,,0.01,0,
2017-12-09 17:40:00.000,0.015592867957786805,0.01,1,-1.0
2017-12-09 20:45:00.000,,0.01,0,
2017-12-10 00:45:00.000,,0.01,0,
2017-12-10 02:40:00.000,,0.01,0,
2017-12-10 04:35:00.000,,0.01,0,
2017-12-10 07:10:00.000,0.020558545656141014,0.01,1,1.0
2017-12-10 14:25:00.000,,0.01,0,
2017-12-10 17:20:00.000,,0.01,0,
2017-12-10 22:15:00.000,,0.01,0,
2017-12-11 01:40:00.000,,0.01,0,
2017-12-11 04:25:00.000,,0.01,0,
2017-12-11 07:45:00.000,,0.01,0,
2017-12-11 11:50:00.000,,0.01,0,
2017-12-11 15:10:00.000,,0.01,0,
2017-12-11 19:35:00.000,,0.01,0,
2017-12-11 23:30:00.000,-0.02331293204191165,0.01,0,-1.0
2017-12-12 00:20:00.000,-0.10068037058482882,0.01,0,-1.0
2017-12-12 02:05:00.000,-0.08643963520555864,0.01,0,-1.0
2017-12-12 03:05:00.000,0.026792018133848572,0.01,1,-1.0
2017-12-12 04:20:00.000,0.037012774320340336,0.01,1,-1.0
2017-12-12 06:30:00.000,-0.025461441688416686,0.01,0,-1.0
2017-12-12 09:05:00.000,,0.01,0,
2017-12-12 11:10:00.000,,0.01,0,
2017-12-12 12:55:00.000,,0.01,0,
2017-12-12 13:55:00.000,,0.01,0,
2017-12-12 14:50:00.000,-0.07701453732620978,0.01,0,-1.0
2017-12-12 15:20:00.000,0.03114068068133502,0.01,1,-1.0
2017-12-12 15:40:00.000,0.04037414965986419,0.01,1,-1.0
2017-12-12 16:25:00.000,0.052721088435374375,0.01,1,-1.0
2017-12-12 17:10:00.000,,0.01,0,
2017-12-12 18:25:00.000,,0.01,0,
2017-12-12 20:35:00.000,,0.01,0,
2017-12-12 23:25:00.000,,0.01,0,
2017-12-13 00:50:00.000,,0.01,0,
2017-12-13 02:15:00.000,,0.01,0,
2017-12-13 02:55:00.000,,0.01,0,
2017-12-13 03:55:00.000,,0.01,0,
2017-12-13 05:20:00.000,,0.01,0,
2017-12-13 06:55:00.000,,0.01,0,
2017-12-13 10:25:00.000,,0.01,0,
2017-12-13 12:15:00.000,,0.01,0,
2017-12-13 13:45:00.000,,0.01,0,
2017-12-13 14:45:00.000,,0.01,0,
2017-12-13 16:20:00.000,,0.01,0,
2017-12-13 17:25:00.000,,0.01,0,
2017-12-13 18:10:00.000,,0.01,0,
2017-12-13 19:10:00.000,,0.01,0,
2017-12-13 20:40:00.000,,0.01,0,
2017-12-13 23:00:00.000,,0.01,0,
2017-12-14 00:45:00.000,,0.01,0,
2017-12-14 01:40:00.000,,0.01,0,
2017-12-14 03:05:00.000,,0.01,0,
2017-12-14 04:55:00.000,,0.01,0,
2017-12-14 06:25:00.000,,0.01,0,
2017-12-14 08:15:00.000,,0.01,0,
2017-12-14 09:00:00.000,,0.01,0,
2017-12-14 09:40:00.000,,0.01,0,
2017-12-14 10:35:00.000,,0.01,0,
2017-12-14 10:45:00.000,,0.01,0,
2017-12-14 11:20:00.000,,0.01,0,
2017-12-14 11:55:00.000,,0.01,0,
2017-12-14 12:15:00.000,,0.01,0,
2017-12-14 13:05:00.000,,0.01,0,
2017-12-14 14:45:00.000,,0.01,0,
2017-12-14 16:20:00.000,,0.01,0,
2017-12-14 20:55:00.000,,0.01,0,
2017-12-14 23:50:00.000,,0.01,0,
2017-12-15 01:15:00.000,,0.01,0,
2017-12-15 02:10:00.000,,0.01,0,
2017-12-15 02:40:00.000,,0.01,0,
2017-12-15 03:20:00.000,0.01896789566089785,0.01,1,1.0
2017-12-15 04:55:00.000,0.04677018633540353,0.01,1,1.0
2017-12-15 07:20:00.000,,0.01,0,
2017-12-15 09:50:00.000,,0.01,0,
2017-12-15 11:10:00.000,,0.01,0,
2017-12-15 13:45:00.000,,0.01,0,
2017-12-15 15:15:00.000,,0.01,0,
2017-12-15 17:15:00.000,,0.01,0,
2017-12-16 00:05:00.000,,0.01,0,
2017-12-16 01:40:00.000,,0.01,0,
2017-12-16 02:55:00.000,,0.01,0,
2017-12-16 04:35:00.000,,0.01,0,
2017-12-16 06:35:00.000,,0.01,0,
2017-12-16 10:25:00.000,,0.01,0,
2017-12-16 15:45:00.000,,0.01,0,
2017-12-16 19:10:00.000,,0.01,0,
2017-12-17 01:00:00.000,,0.01,0,
2017-12-17 03:00:00.000,,0.01,0,
2017-12-17 04:20:00.000,,0.01,0,
2017-12-17 06:10:00.000,,0.01,0,
2017-12-17 08:00:00.000,,0.01,0,
2017-12-17 12:35:00.000,,0.01,0,
2017-12-17 16:40:00.000,,0.01,0,
2017-12-17 19:20:00.000,,0.01,0,
2017-12-17 22:20:00.000,,0.01,0,
2017-12-18 00:30:00.000,,0.01,0,
2017-12-18 01:05:00.000,,0.01,0,
2017-12-18 01:30:00.000,0.02497773820124638,0.01,1,1.0
2017-12-18 02:25:00.000,0.017187205884482193,0.01,1,1.0
