,ret,trgt,bin,side
2017-11-21 13:15:00.000,,0.01,0,
2017-11-23 00:35:00.000,,0.01,0,
2017-11-23 13:45:00.000,,0.01,0,
2017-11-24 11:00:00.000,,0.01,0,
2017-11-25 03:15:00.000,,0.01,0,
2017-11-25 05:40:00.000,,0.01,0,
2017-11-25 21:15:00.000,0.02877984084880625,0.01,1,-1.0
2017-11-26 19:45:00.000,,0.01,0,
2017-11-27 05:55:00.000,,0.01,0,
2017-11-27 11:35:00.000,,0.01,0,
2017-11-28 02:35:00.000,0.07446808510638325,0.01,1,-1.0
2017-11-28 12:40:00.000,,0.01,0,
2017-11-28 20:10:00.000,,0.01,0,
2017-11-29 05:55:00.000,,0.01,0,
2017-11-29 08:15:00.000,,0.01,0,
2017-11-29 10:00:00.000,,0.01,0,
2017-11-29 12:10:00.000,,0.01,0,
2017-11-29 13:45:00.000,,0.01,0,
2017-11-29 15:40:00.000,,0.01,0,
2017-11-29 17:30:00.000,,0.01,0,
2017-11-29 18:30:00.000,,0.01,0,
2017-11-29 19:30:00.000,,0.01,0,
2017-11-29 19:50:00.000,0.06815784575293127,0.01,1,1.0
2017-11-29 20:20:00.000,-0.07397403502657462,0.01,0,1.0
2017-11-29 20:50:00.000,0.034688244887717934,0.01,1,1.0
2017-11-29 21:30:00.000,0.047201853791702275,0.01,1,1.0
2017-11-29 22:20:00.000,-0.04207335556229164,0.01,0,1.0
2017-11-29 23:40:00.000,,0.01,0,
2017-11-30 01:20:00.000,,0.01,0,
2017-11-30 03:10:00.000,,0.01,0,
2017-11-30 04:15:00.000,,0.01,0,
2017-11-30 05:15:00.000,,0.01,0,
2017-11-30 06:10:00.000,,0.01,0,
2017-11-30 07:10:00.000,,0.01,0,
2017-11-30 08:20:00.000,,0.01,0,
2017-11-30 09:20:00.000,,0.01,0,
2017-11-30 10:40:00.000,,0.01,0,
2017-11-30 11:45:00.000,,0.01,0,
2017-11-30 13:05:00.000,,0.01,0,
2017-11-30 13:55:00.000,,0.01,0,
2017-11-30 14:40:00.000,0.010722689075630454,0.01,1,1.0
2017-11-30 15:25:00.000,0.020985067677674385,0.01,1,1.0
2017-11-30 18:35:00.000,,0.01,0,
2017-11-30 20:05:00.000,,0.01,0,
2017-11-30 22:45:00.000,,0.01,0,
2017-12-01 00:00:00.000,,0.01,0,
2017-12-01 01:25:00.000,,0.01,0,
2017-12-01 02:55:00.000,,0.01,0,
2017-12-01 03:25:00.000,,0.01,0,
2017-12-01 04:15:00.000,,0.01,0,
2017-12-01 05:20:00.000,,0.01,0,
2017-12-01 06:30:00.000,,0.01,0,
2017-12-01 08:05:00.000,,0.01,0,
2017-12-01 09:25:00.000,,0.01,0,
2017-12-01 10:10:00.000,,0.01,0,
2017-12-01 10:50:00.000,,0.01,0,
2017-12-01 11:35:00.000,,0.01,0,
2017-12-01 12:35:00.000,,0.01,0,
2017-12-01 13:10:00.000,,0.01,0,
2017-12-01 14:20:00.000,,0.01,0,
2017-12-01 15:10:00.000,,0.01,0,
2017-12-01 15:50:00.000,,0.01,0,
2017-12-01 17:10:00.000,,0.01,0,
2017-12-01 17:55:00.000,,0.01,0,
2017-12-01 20:40:00.000,,0.01,0,
2017-12-01 21:35:00.000,,0.01,0,
2017-12-01 22:25:00.000,,0.01,0,
2017-12-02 00:40:00.000,,0.01,0,
2017-12-02 02:30:00.000,,0.01,0,
2017-12-02 04:20:00.000,,0.01,0,
2017-12-02 05:20:00.000,,0.01,0,
2017-12-02 06:30:00.000,,0.01,0,
2017-12-02 07:40:00.000,,0.01,0,
2017-12-02 08:50:00.000,,0.01,0,
2017-12-02 11:25:00.000,,0.01,0,
2017-12-02 13:05:00.000,,0.01,0,
2017-12-02 14:00:00.000,,0.01,0,
2017-12-02 15:10:00.000,,0.01,0,
2017-12-02 18:10:00.000,,0.01,0,
2017-12-02 19:50:00.000,,0.01,0,
2017-12-03 01:20:00.000,,0.01,0,
2017-12-03 02:25:00.000,,0.01,0,
2017-12-03 05:00:00.000,,0.01,0,
2017-12-03 06:10:00.000,,0.01,0,
2017-12-03 07:40:00.000,,0.01,0,
2017-12-03 10:05:00.000,,0.01,0,
2017-12-03 10:55:00.000,,0.01,0,
2017-12-03 11:40:00.000,-0.03704849562997903,0.01,0,-1.0
2017-12-03 12:35:00.000,-0.028729746054255823,0.01,0,-1.0
2017-12-03 14:00:00.000,-0.03292340217083067,0.01,0,-1.0
2017-12-03 17:00:00.000,,0.01,0,
2017-12-03 17:40:00.000,,0.01,0,
2017-12-03 18:50:00.000,0.02068366621930995,0.01,1,-1.0
