,Meta Model,Meta Model OOS
Annual return,-0.654451502278065,-0.9874919230426684
Cumulative returns,-0.3996409359399419,-0.80149442837098
Annual volatility,0.8931197768333491,1.1939927324247923
Sharpe ratio,-0.6687494092639649,-2.772264641001524
Calmar ratio,-1.0618523289705561,-1.2320633657425721
Stability,0.07954741914386552,0.6301223021179776
Max drawdown,-0.6163300530804902,-0.80149442837098
Omega ratio,0.7585368461718358,0.24050818818855815
Sortino ratio,-0.7736162313176047,-2.873427973417468
Skew,-3.2793624468584355,-4.967240095144635
Kurtosis,19.279027064969267,34.01510301552913
Tail ratio,2.201230823279419,0.01846499556176588
Daily value at risk,-0.11489264749640413,-0.163564118572571
