,Meta Model,Meta Model OOS
Annual return,-0.37826144835833964,-0.9558536491384977
Cumulative returns,-0.18118793712655012,-0.6465741833345623
Annual volatility,0.38636243100398443,1.5577413638297255
Sharpe ratio,-1.0270967011925103,-0.7559983065490727
Calmar ratio,-1.5932622263963663,-1.2243027308325378
Stability,0.08601118123395128,0.12054279939471914
Max drawdown,-0.23741317787586652,-0.7807330859161834
Omega ratio,0.612092608459848,0.7085357794585732
Sortino ratio,-1.1987651088440987,-0.8469716771007305
Skew,-2.838452611000257,-4.3207375623267525
Kurtosis,18.597360766541023,28.10095787748871
Tail ratio,0.0,1.8480148497675148
Daily value at risk,-0.05025181936050651,-0.2009301781782587
