,Meta Model,Meta Model OOS
Annual return,0.038814230938177596,-0.9789263257767225
Cumulative returns,0.01645385510412556,-0.7321182636356048
Annual volatility,0.6124690881091801,2.9510222041683196
Sharpe ratio,0.35624555022806903,0.23983077283005755
Calmar ratio,0.10056900313654527,-1.0846948577025974
Stability,0.2507544267297873,0.31885604166723214
Max drawdown,-0.3859462630397008,-0.9024900586789039
Omega ratio,1.1133855792978977,1.0969347527626157
Sortino ratio,0.5786721152215929,0.4230755725539107
Skew,1.5857314028579679,2.6298024120620824
Kurtosis,13.613259072239146,22.98881559083063
Tail ratio,1.3153109527279563,0.4636745743330714
Daily value at risk,-0.07629802113859378,-0.3689853351271597
