,Meta Model,Meta Model OOS
Annual return,-0.7983646604822693,372.80832257037264
Cumulative returns,-0.4835886716607911,4.6945631150595375
Annual volatility,1.2780631060417345,2.4613869628976555
Sharpe ratio,-0.16236943598308493,3.3974149026424736
Calmar ratio,-1.078664842110906,886.9945957315881
Stability,0.378624626730659,0.609041103350275
Max drawdown,-0.740141542872483,-0.42030506652961336
Omega ratio,0.93993525039698,3.0741975590690616
Sortino ratio,-0.183333112530856,8.763218727424723
Skew,-5.860294184002923,3.5164992319340347
Kurtosis,51.103725576962674,21.90264540498303
Tail ratio,1.603210717419236,3.5972918467366823
Daily value at risk,-0.16184430177332224,-0.2769216692879633
