,Meta Model,Meta Model OOS
Annual return,4.307258042337598,-0.9951015242503433
Cumulative returns,1.3655981842150653,-0.8595497560016667
Annual volatility,1.939981826015021,5.352308177870553
Sharpe ratio,1.8520515127055095,2.420139685726062
Calmar ratio,6.416359816769871,-0.998149370185723
Stability,0.4615247922556663,0.03360346628628423
Max drawdown,-0.6712930953591629,-0.9969465031723532
Omega ratio,1.4849095352447064,1.8099489447208097
Sortino ratio,2.991816035774887,4.620263860454053
Skew,0.4161508008336227,1.8657550341418196
Kurtosis,6.485226169493643,10.791859691731542
Tail ratio,1.1765482055556957,1.3001297550733182
Daily value at risk,-0.23015701285696955,-0.6229253298189376
