,Meta Model,Meta Model OOS
Annual return,-0.9669290244973785,5.577515452942824
Cumulative returns,-0.8345765664977663,1.0040280130478894
Annual volatility,1.6238325539555731,5.455026123359762
Sharpe ratio,-1.043019241888291,1.76958007046992
Calmar ratio,-1.1128031073037499,6.007923763885416
Stability,0.5674526422523086,0.45108391516137125
Max drawdown,-0.8689129443933574,-0.9283598913937882
Omega ratio,0.7394459402736395,2.2172777325587294
Sortino ratio,-1.2455410840196461,5.619251777005167
Skew,-1.9709692850763405,6.542693859023496
Kurtosis,15.15837488209733,52.938519832571124
Tail ratio,0.7567216067997243,1.2040917280564163
Daily value at risk,-0.21130465834249249,-0.6489627170692776
