,Meta Model,Meta Model OOS
Annual return,-0.1447098975384984,-0.05442960122119578
Cumulative returns,-0.06363635211776852,-0.0202250473295994
Annual volatility,0.06794747479880504,0.033473097560984794
Sharpe ratio,-2.265547043279669,-1.6550318531021118
Calmar ratio,-2.049947922954521,-2.6911977180660442
Stability,0.12704990123809481,0.5785182559376113
Max drawdown,-0.07059198720030549,-0.020225047329599448
Omega ratio,0.10360443480405249,0.0
Sortino ratio,-2.286108164225092,-1.6550318531021115
Skew,-5.998529064909152,-9.43456353049727
Kurtosis,37.11038996765262,87.01098901098906
Tail ratio,,
Daily value at risk,-0.009171443043723622,-0.0044370513641819286
